drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
levothyroxine,lag: t-1 only,FE + time-varying,True,0.9763681829173801,0.9443336858877668,1.0094893816238224,0.15999099193690258,2919,
antituberculosis,concurrent: t,FE only,True,1.0008861184274744,0.9977365465712114,1.0040456325905636,0.5817616607061508,3211,
antituberculosis,concurrent: t,FE + time-varying,True,0.9992912108190756,0.9964799754714069,1.0021103771281028,0.6218012276214713,3211,
oral_corticosteroids,concurrent: t,FE only,True,0.9571031111258149,0.9185019459796236,0.997326537343053,0.03684691457732528,3211,
oral_corticosteroids,concurrent: t,FE + time-varying,True,0.9699532676249661,0.9346857495137133,1.0065514980471477,0.10643419296168938,3211,
inhaled_corticosteroids,concurrent: t,FE only,True,0.930387121764244,0.894532715280948,0.9676786343950391,0.00031992052853153946,3211,
inhaled_corticosteroids,concurrent: t,FE + time-varying,True,0.9566677385057675,0.9195915495271132,0.9952387691778755,0.028044830053783984,3211,
immunosuppressants,concurrent: t,FE only,True,1.0027093336879125,0.9842557966111706,1.021508850978147,0.7752646617119335,3211,
immunosuppressants,concurrent: t,FE + time-varying,True,1.005012171523246,0.9865275983557061,1.0238430902423508,0.5975845128676072,3211,
proton_pump_inhibitors,concurrent: t,FE only,True,0.965050714361312,0.9223913831032406,1.0096829809445846,0.12301521940864034,3211,
proton_pump_inhibitors,concurrent: t,FE + time-varying,True,0.9994520911565766,0.9581274033380323,1.042559140921299,0.9797048664835118,3211,
statins,concurrent: t,FE only,True,0.9720740277021572,0.9327387039680235,1.0130681951046052,0.1789696680030144,3211,
statins,concurrent: t,FE + time-varying,True,1.0005597583146935,0.9626291411710464,1.0399849611252026,0.9773585100742425,3211,
metformin,concurrent: t,FE only,True,0.9528315462889334,0.9241970153661704,0.9823532650596702,0.0019114108476793246,3211,
metformin,concurrent: t,FE + time-varying,True,0.97398682353215,0.9470092152402058,1.0017329474176506,0.06588834997831765,3211,
insulins,concurrent: t,FE only,True,0.9549270406417922,0.9197641306265019,0.9914342412198177,0.01597788902408176,3211,
insulins,concurrent: t,FE + time-varying,True,0.9650061729870612,0.9312198424520532,1.0000183323532237,0.05011374621417318,3211,
fluoroquinolones,concurrent: t,FE only,True,1.0039353545735963,0.9892088809410027,1.0188810630208278,0.6024076121662798,3211,
fluoroquinolones,concurrent: t,FE + time-varying,True,1.0042432273614184,0.9912710317971325,1.017385182610352,0.5232659917132746,3211,
all_antibacterials,concurrent: t,FE only,True,0.9849874282609238,0.9495444082076087,1.0217534066294491,0.41850472442446063,3211,
all_antibacterials,concurrent: t,FE + time-varying,True,0.9895713205263197,0.9592449938088464,1.02085640762108,0.5091543890501693,3211,
vitamin_d,concurrent: t,FE only,True,1.007667159833022,0.9860276675496866,1.029781555247062,0.49044747403649835,3211,
vitamin_d,concurrent: t,FE + time-varying,True,1.0076248050069962,0.9881416438685461,1.027492115088366,0.4457605974157476,3211,
levothyroxine,concurrent: t,FE only,True,0.949328931859434,0.9214027642256096,0.9781014946518054,0.0006414000252794447,3211,
levothyroxine,concurrent: t,FE + time-varying,True,0.9701470773473524,0.939585134015014,1.0017031108865653,0.06348159664296525,3211,
antituberculosis,lead (falsification): t+1..t+3,FE only,True,1.0043665985483266,0.9988739405759267,1.0098894598230415,0.11939924171566428,2627,
antituberculosis,lead (falsification): t+1..t+3,FE + time-varying,True,1.0005080109470905,0.9955457901755643,1.005494965523157,0.8413169389328863,2627,
oral_corticosteroids,lead (falsification): t+1..t+3,FE only,True,0.9644147042243779,0.9122016609957855,1.019616343067031,0.2019817941777753,2627,
oral_corticosteroids,lead (falsification): t+1..t+3,FE + time-varying,True,0.9880917245290202,0.9417838944467376,1.0366765261538977,0.6247170236087844,2627,
inhaled_corticosteroids,lead (falsification): t+1..t+3,FE only,True,0.9380116325758519,0.8878792052555079,0.9909746929982587,0.022399709449921718,2627,
inhaled_corticosteroids,lead (falsification): t+1..t+3,FE + time-varying,True,0.9710914801717392,0.9190531369217275,1.0260763224427718,0.2965214283066363,2627,
immunosuppressants,lead (falsification): t+1..t+3,FE only,True,1.0035838783176034,0.9815652382598137,1.026096444291977,0.7519472681855127,2627,
immunosuppressants,lead (falsification): t+1..t+3,FE + time-varying,True,1.005401854086976,0.9826103486739275,1.0287220051831218,0.6451604685093029,2627,
proton_pump_inhibitors,lead (falsification): t+1..t+3,FE only,True,0.9933971432362848,0.9389575835647423,1.0509930389437745,0.8177931040654396,2627,
proton_pump_inhibitors,lead (falsification): t+1..t+3,FE + time-varying,True,1.0458190184999197,0.9922250835483151,1.102307770274059,0.09508027016997854,2627,
statins,lead (falsification): t+1..t+3,FE only,True,0.9895376636348626,0.9368886296783839,1.045145342502532,0.706141951026571,2627,
