drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
fluoroquinolones,lag: t-1 only,FE only,True,1.005120683524431,0.9902007407118866,1.020265433978878,0.503243950055319,1489,
fluoroquinolones,lag: t-1 only,FE + time-varying,True,1.0010333354309744,0.9877617457018456,1.0144832425475754,0.8794461006998915,1489,
all_antibacterials,lag: t-1 only,FE only,True,0.9935571126215347,0.9500746027098751,1.0390297069569066,0.7771019433065176,1489,
all_antibacterials,lag: t-1 only,FE + time-varying,True,0.9948818530417826,0.961134786964231,1.029813835620421,0.7707164351220451,1489,
vitamin_d,lag: t-1 only,FE only,True,1.013357111318998,0.9902821845601346,1.0369697153714945,0.2588756359598262,1489,
vitamin_d,lag: t-1 only,FE + time-varying,True,1.0076042365421636,0.9861351518108329,1.0295407233312697,0.4905691313305749,1489,
levothyroxine,lag: t-1 only,FE only,True,0.9513501354663474,0.919939131557056,0.9838336572550768,0.0035974398143778182,1489,
levothyroxine,lag: t-1 only,FE + time-varying,True,0.9674173577989648,0.9340023415257062,1.0020278350072764,0.06474080192550931,1489,
antituberculosis,concurrent: t,FE only,True,1.0017097916948061,0.9977333741361251,1.0057020570711617,0.39989355995853515,1638,
antituberculosis,concurrent: t,FE + time-varying,True,0.9996817969093537,0.9961291059853469,1.0032471584929423,0.860913932390551,1638,
oral_corticosteroids,concurrent: t,FE only,True,0.9634863008566873,0.9183888974797312,1.0107982081294602,0.128294105484945,1638,
oral_corticosteroids,concurrent: t,FE + time-varying,True,0.9723936509247533,0.9337773621492123,1.0126069132608482,0.17572339555582706,1638,
inhaled_corticosteroids,concurrent: t,FE only,True,0.9333856435978729,0.8923990845219084,0.9762546542070408,0.002621670142604683,1638,
inhaled_corticosteroids,concurrent: t,FE + time-varying,True,0.9549191365220715,0.9138595239561869,0.9978235531742146,0.039670132362626224,1638,
immunosuppressants,concurrent: t,FE only,True,1.006434648100871,0.9845726217892314,1.028782111630521,0.567030755017422,1638,
immunosuppressants,concurrent: t,FE + time-varying,True,1.004965621156252,0.9833145123535348,1.0270934548587833,0.6557685565067042,1638,
proton_pump_inhibitors,concurrent: t,FE only,True,0.9687147968539284,0.9230996640438697,1.0165840095020882,0.1964893329601577,1638,
