level,design,drug,model,term,n,spearman_rho_log,estimate,ci_low,ci_high,p,se_log_irr_10pct,elasticity,years
ltla,within-area FE,antituberculosis_active,concurrent (t),t,1764,,1.0388771543833537,1.0130162505057103,1.0653982513714582,0.0030217595776284457,0.012861328345159215,0.4001720564678245,2019-2024
ltla,within-area FE,antituberculosis_active,lag (t-1),t-1,1470,,0.9998366912777809,0.9913094508289626,1.008437283019287,0.9701872620768645,0.00437000518234952,-0.0017135846231307846,2020-2024
ltla,within-area FE,antituberculosis_active,lead (t+1),t+1,1470,,1.0016348173014697,0.9917516636922314,1.0116164600071622,0.7467907369189608,0.005059196173232847,0.017138593649227665,2019-2023
ltla,within-area FE,antituberculosis_active,lag and lead jointly,t-1,1176,,0.9939291387276296,0.980454979866368,1.0075884697393178,0.3818882949430904,0.006963870414454905,-0.06388996312519403,2020-2023
ltla,within-area FE,antituberculosis_active,lag and lead jointly,t+1,1176,,0.9950257348831438,0.9848620874258192,1.0052942698480247,0.34111073791730917,0.005238256339063223,-0.052320517746270084,2020-2023
ltla,within-area FE,antituberculosis_active,"lag (t-1), clustered by principal trust",t-1,1470,,0.9998366912777809,0.9915555957822979,1.0081869473356135,0.9692977439337641,0.00424333578472747,-0.0017135846231307846,2020-2024
ltla,within-area FE,antituberculosis_active,"concurrent (t), clustered by principal trust",t,1764,,1.0388771543833537,1.0124220953233993,1.0660234964102628,0.0037547110550745586,0.013160661483052782,0.4001720564678245,2019-2024
ltla,within-area FE,antituberculosis_active,"lag (t-1), excluding outcome years 2020-21",t-1,882,,0.9981589574005897,0.9844407856876051,1.0120682916881882,0.7941011410776333,0.007060607089307627,-0.019334129943195617,2022-2024
ltla,within-area FE,antituberculosis_active,"lag (t-1), elective catchments",t-1,1470,,0.9999493916008712,0.9912468683738384,1.0087283175010757,0.9909456658776586,0.004459722259216777,-0.0005309997303648405,2020-2024
ltla,within-area FE,antituberculosis_active,"concurrent (t), elective catchments",t,1764,,1.0392440003992929,1.0128270767213132,1.0663499398753762,0.003387242456150646,0.01313674467041108,0.4038763351712502,2019-2024
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,concurrent (t),t,1764,,1.0383180335055389,1.0251197755886605,1.051686216943501,8.355475687523306e-09,0.006526871673376957,0.3945237387370817,2019-2024
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,lag (t-1),t-1,1470,,1.0038420213489057,0.9915676979235412,1.016268284995665,0.5412547811861288,0.00627689525454684,0.040233473933629055,2020-2024
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,lead (t+1),t+1,1470,,1.0137310863761386,0.998430835201929,1.0292658031515098,0.07881409223349632,0.0077592175566979366,0.14308722544170477,2019-2023
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,lag and lead jointly,t-1,1176,,0.9992858512485734,0.9849417177264173,1.0138388846099773,0.9228490850759056,0.007376737502259521,-0.007495567405132131,2020-2023
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,lag and lead jointly,t+1,1176,,1.0181776121923485,0.9968266261188559,1.039985914106295,0.09570421483662207,0.010812650163961768,0.18900787563946958,2020-2023
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,"lag (t-1), clustered by principal trust",t-1,1470,,1.0038420213489057,0.9919153076625451,1.0159121409271379,0.5294590169047739,0.0060980664882087626,0.040233473933629055,2020-2024
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,"concurrent (t), clustered by principal trust",t,1764,,1.0383180335055389,1.0232092546165394,1.0536499096725258,4.957660287341663e-07,0.007478628804498371,0.3945237387370817,2019-2024
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,"lag (t-1), excluding outcome years 2020-21",t-1,882,,0.9956882742295857,0.9758656566014862,1.0159135458162214,0.6736374868289339,0.010259847398747456,-0.04533668990327113,2022-2024
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,"lag (t-1), elective catchments",t-1,1470,,1.004649281358675,0.9920981813405287,1.017359166177185,0.4695759530705119,0.006414137909340448,0.048667485913702374,2020-2024
ltla,within-area FE,antituberculosis_rifamycin_isoniazid,"concurrent (t), elective catchments",t,1764,,1.0388775160742634,1.0260170564257545,1.0518991732597285,1.956352272300102e-09,0.006355330613839438,0.40017570933628266,2019-2024
ltla,within-area FE,tnf_inhibitor,concurrent (t),t,1764,,0.9941432102696461,0.9787522454762062,1.009776199332627,0.46058294746186546,0.007960576258070522,-0.06163043651196676,2019-2024
ltla,within-area FE,tnf_inhibitor,lag (t-1),t-1,1470,,0.9920279129942717,0.9761875254196644,1.0081253391726104,0.329751980058829,0.008212520576730508,-0.08397879440057125,2020-2024
ltla,within-area FE,tnf_inhibitor,lead (t+1),t+1,1470,,0.9778506614671859,0.953528471269376,1.002793251531222,0.08134343028033231,0.012850855176874221,-0.23500447212592016,2019-2023
ltla,within-area FE,tnf_inhibitor,lag and lead jointly,t-1,1176,,1.000616473762205,0.9824450001800004,1.0191240500800214,0.9474507592519821,0.009350612289031954,0.0064660860107411955,2020-2023
ltla,within-area FE,tnf_inhibitor,lag and lead jointly,t+1,1176,,0.9753507763470308,0.945839862271731,1.005782453105633,0.11134500108272975,0.015675459677640367,-0.2618618716816929,2020-2023
ltla,within-area FE,tnf_inhibitor,"lag (t-1), clustered by principal trust",t-1,1470,,0.9920279129942717,0.9761940603715185,1.0081185904626748,0.329550802058323,0.008209105097775424,-0.08397879440057125,2020-2024
ltla,within-area FE,tnf_inhibitor,"concurrent (t), clustered by principal trust",t,1764,,0.9941432102696461,0.979275502990226,1.0092366443430802,0.4448313126520166,0.007687885407838976,-0.06163043651196676,2019-2024
ltla,within-area FE,tnf_inhibitor,"lag (t-1), excluding outcome years 2020-21",t-1,882,,0.9763229230267096,0.9353409727945166,1.019100496773412,0.27342243638666575,0.02187870196468152,-0.2514094883118154,2022-2024
ltla,within-area FE,tnf_inhibitor,"lag (t-1), elective catchments",t-1,1470,,0.9928167137171937,0.9768250223616266,1.00907020650757,0.38421521539269776,0.008284964051350175,-0.07563945760637455,2020-2024
ltla,within-area FE,tnf_inhibitor,"concurrent (t), elective catchments",t,1764,,0.9948492043366525,0.9794181191916987,1.0105234117846196,0.5173256040296748,0.007975782065198169,-0.054182110977315956,2019-2024
ltla,within-area FE,il6_abatacept,concurrent (t),t,1764,,1.0009313414460144,0.9911356850967078,1.0108238108601277,0.852818174222908,0.005017726881761889,0.009767141543263747,2019-2024
ltla,within-area FE,il6_abatacept,lag (t-1),t-1,1470,,1.001443426587842,0.9931754345012076,1.0097802480985338,0.7330973565889217,0.004229767954555761,0.01513359697791361,2020-2024
ltla,within-area FE,il6_abatacept,lead (t+1),t+1,1470,,0.9978578157803346,0.9841301305306788,1.0117769892656083,0.7615692609267395,0.0070676848066641845,-0.022500030770602086,2019-2023
ltla,within-area FE,il6_abatacept,lag and lead jointly,t-1,1176,,1.004607725842016,0.9950146207548038,1.0142933196859711,0.34769308699190804,0.004895403303917772,0.04823349173768282,2020-2023
ltla,within-area FE,il6_abatacept,lag and lead jointly,t+1,1176,,0.9965942350145521,0.9805709838703004,1.0128793178685476,0.679944986985372,0.008269725804665696,-0.03579447454445166,2020-2023
ltla,within-area FE,il6_abatacept,"lag (t-1), clustered by principal trust",t-1,1470,,1.001443426587842,0.9933526351647871,1.0096001169711797,0.727458771846891,0.004138746334024318,0.01513359697791361,2020-2024
ltla,within-area FE,il6_abatacept,"concurrent (t), clustered by principal trust",t,1764,,1.0009313414460144,0.9910792966046136,1.0108813227369904,0.8536551447539261,0.005046754650290465,0.009767141543263747,2019-2024
ltla,within-area FE,il6_abatacept,"lag (t-1), excluding outcome years 2020-21",t-1,882,,0.9957685329029078,0.9801862051392877,1.011598577821962,0.5982251384665974,0.008047079098162435,-0.044490998740805865,2022-2024
ltla,within-area FE,il6_abatacept,"lag (t-1), elective catchments",t-1,1470,,1.0018764555676203,0.9936530167527391,1.0101679512844601,0.6557273574914664,0.004205055206671726,0.01966943329676285,2020-2024
