level,design,drug,model,term,n,spearman_rho_log,estimate,ci_low,ci_high,p,se_log_irr_10pct,elasticity,years
utla,within-area FE,antituberculosis_active,"lag (t-1), clustered by principal trust",t-1,755,,1.0013370811911169,0.9931366243570113,1.0096052502519584,0.7501212359686233,0.004195522972461141,0.014019363900175576,2020-2024
utla,within-area FE,antituberculosis_active,"concurrent (t), clustered by principal trust",t,906,,1.034961092919607,1.0087164608001395,1.0618885539031335,0.00873488333832909,0.013104664722899947,0.36054736964389816,2019-2024
utla,within-area FE,antituberculosis_active,"lag (t-1), excluding outcome years 2020-21",t-1,453,,0.9997882562794564,0.9864920890662808,1.013263632291689,0.9752679175053156,0.006830717654608715,-0.002221862783649183,2022-2024
utla,within-area FE,antituberculosis_active,"lag (t-1), elective catchments",t-1,755,,1.0014273524424817,0.9929286328727924,1.0099988146362964,0.7429001011180799,0.004348378817229873,0.014965187834161429,2020-2024
utla,within-area FE,antituberculosis_active,"concurrent (t), elective catchments",t,906,,1.0353184574408916,1.009197140264233,1.062115879596271,0.007763163895405861,0.013037736543344964,0.3641695757045722,2019-2024
utla,within-area FE,antituberculosis_rifamycin_isoniazid,concurrent (t),t,906,,1.0355630822736743,1.0213608064089004,1.0499628443142186,7.054793707877975e-07,0.007045641607659882,0.36664834434935917,2019-2024
utla,within-area FE,antituberculosis_rifamycin_isoniazid,lag (t-1),t-1,755,,1.0053586885164556,0.9925591688683578,1.018323264020527,0.4136279005992006,0.006537262266283288,0.05607356783297811,2020-2024
utla,within-area FE,antituberculosis_rifamycin_isoniazid,lead (t+1),t+1,755,,1.0127057092936516,0.9970552421579845,1.0286018369616623,0.11208938906083672,0.007946311840453605,0.13246926048253596,2019-2023
utla,within-area FE,antituberculosis_rifamycin_isoniazid,lag and lead jointly,t-1,604,,1.0006520256149967,0.9868442607893142,1.0146529864464287,0.9267422382856813,0.007089212053342565,0.006838861703844068,2020-2023
utla,within-area FE,antituberculosis_rifamycin_isoniazid,lag and lead jointly,t+1,604,,1.0180447842662503,0.9957198758002406,1.040870236660456,0.11391307794321222,0.011312867201911747,0.18763902869983384,2020-2023
utla,within-area FE,antituberculosis_rifamycin_isoniazid,"lag (t-1), clustered by principal trust",t-1,755,,1.0053586885164556,0.9926112235598152,1.018269860933745,0.4117112819065758,0.006510505352965337,0.05607356783297811,2020-2024
utla,within-area FE,antituberculosis_rifamycin_isoniazid,"concurrent (t), clustered by principal trust",t,906,,1.0355630822736743,1.0199545212234902,1.0514105041485207,6.486401448503257e-06,0.0077486124278270604,0.36664834434935917,2019-2024
utla,within-area FE,antituberculosis_rifamycin_isoniazid,"lag (t-1), excluding outcome years 2020-21",t-1,453,,1.0001669953663512,0.9787428044934857,1.0220601510708864,0.9879406926468152,0.01104763513220369,0.0017519789021501009,2022-2024
utla,within-area FE,antituberculosis_rifamycin_isoniazid,"lag (t-1), elective catchments",t-1,755,,1.0060274350924323,0.9930166591562415,1.0192086817744064,0.3655564443598459,0.006641419007469303,0.06305037700774004,2020-2024
utla,within-area FE,antituberculosis_rifamycin_isoniazid,"concurrent (t), elective catchments",t,906,,1.0359236082407073,1.0221764290297024,1.0498556723022059,2.2421987541421375e-07,0.006815967281724539,0.3703004649832049,2019-2024
utla,within-area FE,tnf_inhibitor,concurrent (t),t,906,,0.9956805596038608,0.9789419085555453,1.0127054201161585,0.6167698296485349,0.008650091640438267,-0.045417983036397866,2019-2024
utla,within-area FE,tnf_inhibitor,lag (t-1),t-1,755,,0.9892725343757978,0.9716169257167727,1.0072489695960631,0.24044514667688777,0.00918787848204028,-0.11316125670337092,2020-2024
utla,within-area FE,tnf_inhibitor,lead (t+1),t+1,755,,0.9816118572793686,0.9569022183070262,1.0069595617159377,0.1536340028509853,0.013007531562123184,-0.19472532895789624,2019-2023
utla,within-area FE,tnf_inhibitor,lag and lead jointly,t-1,604,,0.9977265738892509,0.97712916549754,1.0187581656493796,0.830664474268463,0.010643068964007914,-0.02388007526542829,2020-2023
utla,within-area FE,tnf_inhibitor,lag and lead jointly,t+1,604,,0.9777897063784234,0.9486309484769343,1.0078447381825537,0.14591563380853673,0.01544631858462832,-0.2356585232278562,2020-2023
utla,within-area FE,tnf_inhibitor,"lag (t-1), clustered by principal trust",t-1,755,,0.9892725343757978,0.9699832737582059,1.0089453846750258,0.2830217797035188,0.010046444621601999,-0.11316125670337092,2020-2024
utla,within-area FE,tnf_inhibitor,"concurrent (t), clustered by principal trust",t,906,,0.9956805596038608,0.979945321758979,1.0116684622704804,0.5942983957383783,0.00812740146327113,-0.045417983036397866,2019-2024
utla,within-area FE,tnf_inhibitor,"lag (t-1), excluding outcome years 2020-21",t-1,453,,0.9696976963722916,0.9281713853212851,1.013081891146904,0.16821233559178184,0.022330597707271537,-0.32285018605864,2022-2024
utla,within-area FE,tnf_inhibitor,"lag (t-1), elective catchments",t-1,755,,0.9898944674297535,0.9721107269436823,1.0080035426919056,0.27214733297480764,0.009249298117163114,-0.10656721152124903,2020-2024
utla,within-area FE,tnf_inhibitor,"concurrent (t), elective catchments",t,906,,0.9962939669251585,0.9794840278682627,1.0133923987425861,0.668895620495036,0.008681852405062133,-0.038956147574179895,2019-2024
utla,within-area FE,il6_abatacept,concurrent (t),t,906,,0.9997267889772882,0.9896605027627208,1.0098954639583777,0.9577946636444603,0.005163302457602079,-0.0028669377416305555,2019-2024
utla,within-area FE,il6_abatacept,lag (t-1),t-1,755,,1.000655192599822,0.9924230734833778,1.0089555968931812,0.8765025856706182,0.004214671073901996,0.006872068190431475,2020-2024
utla,within-area FE,il6_abatacept,lead (t+1),t+1,755,,1.0010911228696568,0.9864487499496601,1.0159508401623227,0.8846603972296393,0.007517568515767675,0.011441884067316471,2019-2023
utla,within-area FE,il6_abatacept,lag and lead jointly,t-1,604,,1.0048228679582838,0.9951107258387025,1.014629799232581,0.331588163623743,0.004955378037892179,0.05048018164632767,2020-2023
utla,within-area FE,il6_abatacept,lag and lead jointly,t+1,604,,1.0007198103988506,0.9837083956070941,1.0180254061028668,0.9344424399401914,0.008747613896102659,0.007549576142584405,2020-2023
utla,within-area FE,il6_abatacept,"lag (t-1), clustered by principal trust",t-1,755,,1.000655192599822,0.9928104775498474,1.0085618928479858,0.8704313581915357,0.004015545748461132,0.006872068190431475,2020-2024
utla,within-area FE,il6_abatacept,"concurrent (t), clustered by principal trust",t,906,,0.9997267889772882,0.9907322715007902,1.0088029645837997,0.9527456287819971,0.004611067723946077,-0.0028669377416305555,2019-2024
utla,within-area FE,il6_abatacept,"lag (t-1), excluding outcome years 2020-21",t-1,453,,0.9933685610900708,0.9757353747738124,1.0113204088669079,0.4665389860970275,0.009137927112734597,-0.069809170527858,2022-2024
utla,within-area FE,il6_abatacept,"lag (t-1), elective catchments",t-1,755,,1.0011285001272976,0.9929742957595205,1.0093496659956447,0.7869293520391195,0.0041726349797063635,0.011833613702045203,2020-2024
utla,within-area FE,il6_abatacept,"concurrent (t), elective catchments",t,906,,1.0002105691159549,0.9901282206822334,1.0103955848081339,0.9675094843395635,0.005169069055461316,0.0022090709494243937,2019-2024
utla,within-area FE,jak_inhibitor_rheum,concurrent (t),t,906,,0.9931549373645444,0.9870768139170446,0.9992704880761863,0.028307141420694997,0.003132050709003251,-0.072065728454906,2019-2024
utla,within-area FE,jak_inhibitor_rheum,lag (t-1),t-1,755,,0.9942996476037612,0.9870575093549867,1.0015949221347862,0.12534508131122785,0.0037297515356234257,-0.05997954703601182,2020-2024
utla,within-area FE,jak_inhibitor_rheum,lead (t+1),t+1,755,,1.0003012434247813,0.9896597669962556,1.0110571440467069,0.9559813860973265,0.005456766674647832,0.0031601877229635866,2019-2023
utla,within-area FE,jak_inhibitor_rheum,lag and lead jointly,t-1,604,,1.00301648645905,0.9944780859538075,1.0116281960539726,0.48986380403971796,0.0043618174302140255,0.03160151411424114,2020-2023
utla,within-area FE,jak_inhibitor_rheum,lag and lead jointly,t+1,604,,0.9975409120363183,0.9837932847581562,1.011480650054315,0.7280336261850281,0.007080287743816619,-0.025832670670622462,2020-2023
utla,within-area FE,jak_inhibitor_rheum,"lag (t-1), clustered by principal trust",t-1,755,,0.9942996476037612,0.9858480065332834,1.0028237443026025,0.18932791890382272,0.004355319611457526,-0.05997954703601182,2020-2024
utla,within-area FE,jak_inhibitor_rheum,"concurrent (t), clustered by principal trust",t,906,,0.9931549373645444,0.9867658965962953,0.999585345433872,0.036982756471949915,0.0032927841722763798,-0.072065728454906,2019-2024
utla,within-area FE,jak_inhibitor_rheum,"lag (t-1), excluding outcome years 2020-21",t-1,453,,0.9781505444608313,0.9607772484300688,0.9958379938663386,0.01568585849502895,0.009143366563080456,-0.2317873064270912,2022-2024
utla,within-area FE,jak_inhibitor_rheum,"lag (t-1), elective catchments",t-1,755,,0.9947481920257565,0.9874960553418013,1.0020535881492794,0.15839785585247623,0.0037332293941148963,-0.055247479374866744,2020-2024
