new_group,year,direct,successor,unmatched
low_tb_risk_biologic,2023,0.9948486914091172,0.0037099903800309492,0.001441318210851794
low_tb_risk_biologic,2024,0.9963855562663435,0.0018782048437165823,0.0017362388899399505
negative_control_levetiracetam,2019,0.8759070523805453,0.07539619140021625,0.0486967562192383
negative_control_levetiracetam,2020,0.9130281027012166,0.04240604046271976,0.044565856836063615
negative_control_levetiracetam,2021,0.9354129475006173,0.02274961422947848,0.041837438269904145
negative_control_levetiracetam,2022,0.9473111996780019,0.012320588720725969,0.04036821160127215
negative_control_levetiracetam,2023,0.9477293965511384,0.009369353068973999,0.04290125037988763
negative_control_levetiracetam,2024,0.9502284509246953,0.006664065477664146,0.043107483597640564
rituximab,2019,0.9115810905283885,0.08421451772211594,0.004204391749495473
rituximab,2020,0.9509234895330848,0.04447329062745299,0.004603219839462254
rituximab,2021,0.9749376154483802,0.02055926690847999,0.004503117643139655
rituximab,2022,0.9867464022067208,0.008217308590342837,0.005036289202936383
rituximab,2023,0.9903378178541096,0.004194057612853463,0.005468124533037145
rituximab,2024,0.992105869744964,0.00226203382963177,0.005632096425404305
ruxolitinib,2019,0.9153798963083959,0.08462010369160411,
ruxolitinib,2020,0.956467630434375,0.04353236956562498,
ruxolitinib,2021,0.9845852582736749,0.015229594792711005,0.00018514693361411854
ruxolitinib,2022,0.9947113926731339,0.005288607326866133,
ruxolitinib,2023,0.9973411840587758,0.0026422942265428608,1.652171468137563e-05
ruxolitinib,2024,0.9981944759700759,0.0017768811557948019,2.864287412910446e-05
systemic_glucocorticoid,2019,0.9062968305305712,0.0882453938280714,0.005457775641357483
systemic_glucocorticoid,2020,0.9462819098285253,0.04757129089293262,0.006146799278542042
systemic_glucocorticoid,2021,0.9730389771141496,0.021981938297420445,0.004979084588429894
systemic_glucocorticoid,2022,0.9843691639349063,0.010818583482575347,0.00481225258251825
systemic_glucocorticoid,2023,0.9880805448686281,0.007093367344913894,0.004826087786457993
systemic_glucocorticoid,2024,0.9902082620246729,0.004984916471054366,0.004806821504272623
tnf_inhibitor,2019,0.9117911629194109,0.08230304868698807,0.005905788393601058
tnf_inhibitor,2020,0.9526317525646802,0.041194433389936266,0.006173814045383431
tnf_inhibitor,2021,0.9761674054284946,0.019713607026098805,0.004118987545406504
tnf_inhibitor,2022,0.9852842887621762,0.008540596305700582,0.006175114932123251
tnf_inhibitor,2023,0.9864931545314324,0.004027856341151171,0.00947898912741642
tnf_inhibitor,2024,0.9885774555318384,0.0025840848599004295,0.008838459608261363
transplant_cni_mtor,2019,0.9232071403069946,0.07550725350186985,0.001285606191135559
transplant_cni_mtor,2020,0.9625702774996118,0.03624489442883764,0.0011848280715505135
transplant_cni_mtor,2021,0.9925163769200187,0.006303780333891289,0.0011798427460900174
transplant_cni_mtor,2022,0.9979637185384302,0.0010127331293168249,0.0010235483322528964
transplant_cni_mtor,2023,0.9989577268978772,0.00043566116629649285,0.0006066119358262239
transplant_cni_mtor,2024,0.9992865812841683,8.267378169738949e-05,0.000630744934134374
