SICBL26CD,SICBL26CDH,SICBL26NM,ICB26NM,region,tb_count,tb_denominator,boundary_changed,tb_rate_per_100k,diabetes_prev,pct_non_uk_born,imd_score,resident_pop_mid2022,registered_patients,pct_age_65plus,pct_age_15_44,total_items,items_antituberculosis,items_oral_corticosteroids,items_inhaled_corticosteroids,items_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,rate_antituberculosis,rate_oral_corticosteroids,rate_inhaled_corticosteroids,rate_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine,rate_total_items
E38000251,B2M3M,NHS Coventry and Warwickshire ICB - B2M3M,NHS Coventry and Warwickshire Integrated Care Board,Midlands,290.0,2881806.0,False,10.06313402081889,7.57891,18.15725118241952,19.974806516122182,960602,1115249.0,17.570156978396753,42.18636376271129,1900722,18.0,10095,39721,4025,110324,150085,42817,13148,523,39668,35615,57550,0.016139893422903763,9.051790228011862,35.616261480620025,3.609059501510425,98.92320011046861,134.57532802091728,38.39232314935947,11.789295484685482,0.468953570009926,35.568738461097034,31.934572458706533,51.602825916006196,1704.3028059204717
E38000236,18C,NHS Herefordshire and Worcestershire ICB - 18C,NHS Herefordshire and Worcestershire Integrated Care Board,Midlands,74.0,2394057.0,False,3.0909873908599503,8.05751,8.160869966647732,17.654329386894297,798019,832641.0,24.374370226784414,34.481247020024234,1472657,14.0,9268,31202,4989,86710,111131,25904,10203,456,34771,29218,42546,0.016813969045482987,11.130847508109738,37.473533011225726,5.991777969136759,104.13851828098784,133.468085285255,31.11064672529938,12.253780440790209,0.5476549917671601,41.75989412003493,35.090753397922995,51.0976519292228,1768.6578009009886
E38000255,A3A8R,NHS North East London ICB - A3A8R,NHS North East London Integrated Care Board,London,1419.0,6079893.0,False,23.339226529151087,8.44925,41.2725796275384,26.3340257298936,2026631,2454659.0,9.910785978826388,51.07515952317613,3431075,83.0,12461,58414,5813,194255,280370,130721,28021,751,72443,80252,83313,0.03381325063888711,5.076468870014124,23.79719545566207,2.3681497104078404,79.13726509466285,114.219531103913,53.254240201999544,11.415434893400672,0.30594880999764124,29.51244959075782,32.69374687074661,33.94076325876629,1397.7807100701157
E38000244,72Q,NHS South East London ICB - 72Q,NHS South East London Integrated Care Board,London,693.0,5389611.0,False,12.858070832941376,7.00376,32.49201442037699,20.606248818142905,1796537,2094802.0,12.453205601293105,47.59203972499549,2399497,15.0,10094,45087,4713,132719,182074,67730,19518,727,58650,65659,61440,0.0071605812864413915,4.818593833689294,21.523275230785533,2.249854640199885,63.35634585034767,86.91704514316865,32.332411368711696,9.31734836991754,0.3470495063495261,27.99787282998584,31.34377377909702,29.32974094926394,1145.452887671484
E38000245,36L,NHS South West London ICB - 36L,NHS South West London Integrated Care Board,London,571.0,4534887.0,False,12.59127294682315,6.37403,34.4737090193048,15.60415235947445,1511629,1751651.0,13.528265619121617,44.84123835170362,2237098,4.0,10726,37141,5851,125782,168175,61490,14206,583,51464,62606,63638,0.0022835599100505754,6.123365898800618,21.203424654797104,3.340277258426479,71.80768315149535,96.00942196818887,35.104024717252464,8.110063020544617,0.3328288568898713,29.3802818027107,35.74113793215658,36.33029638894963,1277.1368269135803
E38000237,91Q,NHS Kent and Medway ICB - 91Q,NHS Kent and Medway Integrated Care Board,South East,309.0,5631330.0,False,5.487158451023116,8.17846,12.537551656260426,21.249940323859857,1877417,2039522.0,19.90157497688184,37.64367337052506,3254069,31.0,17582,68875,9254,195802,253152,67739,25440,850,74094,66518,97496,0.015199639915627288,8.620647386985773,33.7701677157687,4.537337670297256,96.00386757289208,124.12320141680257,33.21317445950571,12.473510950114783,0.4167643202671999,36.329100642209305,32.614504771216005,47.803357845612844,1595.5057116324317
E38000089,11N,NHS Cornwall and the Isles of Scilly ICB - 11N,NHS Cornwall and the Isles of Scilly Integrated Care Board,South West,22.0,1733439.0,False,1.2691533996869806,7.606150000000001,5.290808393172252,22.283141165048207,577813,604889.0,26.12115611293973,33.267921883188485,1305516,25.0,7600,29820,3901,80130,102893,22767,7096,318,25496,28071,38366,0.04132989689017324,12.564288654612664,49.298301010598635,6.449117110742632,132.47058551238328,170.1022832288238,37.63831049994296,11.731077933306771,0.5257162884430036,42.149882044474275,46.406861424162116,63.426512963535465,2158.273666738856
E38000230,15N,NHS Devon ICB - 15N,NHS Devon Integrated Care Board,South West,109.0,3697740.0,False,2.947746461352069,7.576,7.571056030404987,20.14136071005533,1232580,1293310.0,25.105272517803158,35.45151587786378,2447491,23.0,12926,52288,8223,142290,187794,40184,14352,481,48226,58897,71369,0.01778382599686077,9.994510210235752,40.42959537929808,6.3581043987907,110.02002613449211,145.2041660545422,31.070663645993616,11.09710742204112,0.3719139262821752,37.28881706628728,45.53973911900473,55.18321206825896,1892.4240901253372
E38000150,11X,NHS Somerset ICB - 11X,NHS Somerset Integrated Care Board,South West,40.0,1731273.0,False,2.310438619443612,8.17117,8.537925339081509,19.13698231301476,577091,605062.0,25.59638516383445,33.62961151088649,1013263,2.0,5764,23698,4056,68366,75814,16785,6678,215,21457,16207,28575,0.0033054463840069283,9.526296478707968,39.166234204098096,6.7034452667660505,112.99007374450882,125.29955607855062,27.740958777778143,11.036885476199133,0.3553354862807448,35.46248153081833,26.785684772800145,47.22656521149899,1674.643259699006
E38000222,15C,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C","NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",South West,194.0,2979324.0,False,6.511544229496356,6.73096,14.0692452882192,17.70638093943458,993108,1092577.0,16.80870089705348,44.82338544560246,1393818,9.0,7149,29207,6639,79236,97282,26012,10603,461,31313,36185,38227,0.008237405693145655,6.543245922255365,26.732212008856127,6.076459599643777,72.52211972245435,89.03903340451062,23.80793298778942,9.70457917382482,0.4219382249489052,28.65976494105221,33.11894722294172,34.98792304798655,1275.7160364898768
