utla,year,tb_count
E06000022,2017,3
E06000022,2018,5
E06000022,2019,9
E06000022,2020,0
E06000022,2021,5
E06000022,2022,7
E06000022,2023,4
E06000022,2024,11
E06000023,2001,40
E06000023,2002,63
E06000023,2003,51
E06000023,2004,75
E06000023,2005,66
E06000023,2006,81
E06000023,2007,81
E06000023,2008,72
E06000023,2009,84
E06000023,2010,81
E06000023,2011,82
E06000023,2012,88
E06000023,2013,97
E06000023,2014,98
E06000023,2015,79
E06000023,2016,66
E06000023,2017,61
E06000023,2018,48
E06000023,2019,49
E06000023,2020,43
E06000023,2021,36
E06000023,2022,35
E06000023,2023,55
E06000023,2024,41
E06000024,2001,7
E06000024,2002,4
E06000024,2003,3
E06000024,2004,5
E06000024,2005,10
E06000024,2006,6
E06000024,2007,5
E06000024,2008,10
E06000024,2009,13
E06000024,2010,10
E06000024,2011,6
E06000024,2012,9
E06000024,2013,7
E06000024,2014,8
E06000024,2015,10
E06000024,2016,6
E06000024,2017,6
E06000024,2018,7
E06000024,2019,5
E06000024,2020,6
E06000024,2021,7
E06000024,2022,4
E06000024,2023,12
E06000024,2024,5
E06000025,2001,11
E06000025,2002,5
E06000025,2003,12
E06000025,2004,12
E06000025,2005,10
E06000025,2006,9
E06000025,2007,8
E06000025,2008,15
E06000025,2009,25
E06000025,2010,13
E06000025,2011,18
E06000025,2012,13
E06000025,2013,17
E06000025,2014,21
E06000025,2015,16
E06000025,2016,18
E06000025,2017,9
E06000025,2018,11
E06000025,2019,18
E06000025,2020,7
E06000025,2021,10
E06000025,2022,9
E06000025,2023,16
E06000025,2024,17
E06000026,2001,15
E06000026,2002,12
E06000026,2003,9
E06000026,2004,12
E06000026,2005,5
E06000026,2006,16
E06000026,2007,12
E06000026,2008,13
E06000026,2009,12
E06000026,2010,11
E06000026,2011,16
E06000026,2012,20
E06000026,2013,12
E06000026,2014,11
E06000026,2015,18
E06000026,2016,17
E06000026,2017,20
E06000026,2018,11
E06000026,2019,12
E06000026,2020,7
E06000026,2021,12
E06000026,2022,14
E06000026,2023,7
E06000026,2024,23
E06000027,2001,8
E06000027,2002,6
E06000027,2003,3
E06000027,2004,8
E06000027,2005,12
E06000027,2006,10
E06000027,2007,4
E06000027,2008,11
E06000027,2009,14
E06000027,2010,12
E06000027,2011,11
E06000027,2012,5
E06000027,2013,10
E06000027,2014,6
E06000027,2015,8
E06000027,2016,6
E06000027,2017,3
E06000027,2018,5
E06000027,2019,2
E06000027,2020,3
E06000027,2021,2
E06000027,2022,5
E06000027,2023,7
E06000027,2024,7
E06000030,2001,9
E06000030,2002,8
E06000030,2003,12
E06000030,2004,11
E06000030,2005,10
E06000030,2006,21
E06000030,2007,24
E06000030,2008,13
E06000030,2009,18
E06000030,2010,21
E06000030,2011,23
E06000030,2012,18
E06000030,2013,30
E06000030,2014,18
E06000030,2015,22
E06000030,2016,30
E06000030,2017,25
E06000030,2018,17
E06000030,2019,24
E06000030,2020,17
E06000030,2021,14
E06000030,2022,23
E06000030,2023,25
E06000030,2024,20
E06000031,2001,26
E06000031,2002,26
E06000031,2003,14
E06000031,2004,34
E06000031,2005,36
E06000031,2006,39
E06000031,2007,24
E06000031,2008,47
E06000031,2009,36
E06000031,2010,47
E06000031,2011,52
E06000031,2012,59
E06000031,2013,57
E06000031,2014,45
E06000031,2015,31
E06000031,2016,39
E06000031,2017,44
E06000031,2018,36
E06000031,2019,38
E06000031,2020,30
E06000031,2021,46
E06000031,2022,36
E06000031,2023,45
E06000031,2024,38
E06000032,2001,69
E06000032,2002,87
E06000032,2003,74
E06000032,2004,67
E06000032,2005,87
E06000032,2006,74
E06000032,2007,80
E06000032,2008,73
E06000032,2009,91
E06000032,2010,96
E06000032,2011,108
E06000032,2012,85
E06000032,2013,60
E06000032,2014,73
E06000032,2015,57
E06000032,2016,55
E06000032,2017,61
E06000032,2018,46
E06000032,2019,44
E06000032,2020,57
E06000032,2021,47
E06000032,2022,45
E06000032,2023,58
E06000032,2024,55
E06000033,2001,16
E06000033,2002,16
E06000033,2003,18
E06000033,2004,27
E06000033,2005,22
E06000033,2006,22
E06000033,2007,26
E06000033,2008,18
E06000033,2009,21
E06000033,2010,25
E06000033,2011,19
E06000033,2012,17
E06000033,2013,14
E06000033,2014,9
E06000033,2015,15
E06000033,2016,7
E06000033,2017,14
E06000033,2018,10
E06000033,2019,14
E06000033,2020,14
E06000033,2021,18
E06000033,2022,8
E06000033,2023,15
E06000033,2024,16
E06000034,2001,4
E06000034,2002,6
E06000034,2003,10
E06000034,2004,17
E06000034,2005,13
E06000034,2006,7
E06000034,2007,7
E06000034,2008,15
E06000034,2009,12
E06000034,2010,21
E06000034,2011,14
E06000034,2012,9
E06000034,2013,11
E06000034,2014,4
E06000034,2015,11
E06000034,2016,12
E06000034,2017,16
E06000034,2018,6
E06000034,2019,17
E06000034,2020,7
E06000034,2021,14
E06000034,2022,11
E06000034,2023,9
E06000034,2024,15
E06000035,2001,21
E06000035,2002,13
E06000035,2003,20
E06000035,2004,8
E06000035,2005,14
E06000035,2006,16
E06000035,2007,18
E06000035,2008,22
E06000035,2009,20
E06000035,2010,20
E06000035,2011,28
E06000035,2012,20
E06000035,2013,16
E06000035,2014,16
E06000035,2015,14
E06000035,2016,12
E06000035,2017,12
E06000035,2018,18
E06000035,2019,24
E06000035,2020,17
E06000035,2021,17
E06000035,2022,18
E06000035,2023,22
E06000035,2024,20
E06000036,2001,4
E06000036,2002,4
E06000036,2003,6
E06000036,2004,4
E06000036,2005,9
E06000036,2006,4
E06000036,2007,6
E06000036,2008,7
E06000036,2009,9
E06000036,2010,12
E06000036,2011,10
E06000036,2012,10
E06000036,2013,6
E06000036,2014,14
E06000036,2015,7
E06000036,2016,3
E06000036,2017,5
E06000036,2018,7
E06000036,2019,7
E06000036,2020,5
E06000036,2021,13
E06000036,2022,5
E06000036,2023,11
E06000036,2024,6
E06000037,2001,5
E06000037,2002,8
E06000037,2003,4
E06000037,2004,9
E06000037,2005,11
E06000037,2006,3
E06000037,2007,10
E06000037,2008,5
E06000037,2009,11
E06000037,2010,7
E06000037,2011,6
E06000037,2012,9
E06000037,2013,11
E06000037,2014,7
E06000037,2015,5
E06000037,2016,6
E06000037,2017,8
E06000037,2018,6
E06000037,2019,5
E06000037,2020,9
E06000037,2021,5
E06000037,2022,4
E06000037,2023,6
E06000037,2024,4
E06000038,2001,31
E06000038,2002,41
E06000038,2003,39
E06000038,2004,34
E06000038,2005,59
E06000038,2006,44
E06000038,2007,55
E06000038,2008,60
E06000038,2009,57
