utla,year,population,pct_age_65plus,pct_age_15_44,international_in,intl_in_per_1000,asylum_supported,asylum_per_1000,diabetes_prev,hiv_prev,items_total,items_antituberculosis,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,items_inhaled_corticosteroids,items_conventional_dmards,items_transplant_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,mg_pred_equivalent,adq_antituberculosis,adq_oral_glucocorticoids,adq_oral_hydrocortisone,adq_oral_dexamethasone,adq_inhaled_corticosteroids,adq_conventional_dmards,adq_transplant_immunosuppressants,adq_proton_pump_inhibitors,adq_statins,adq_metformin,adq_insulins,adq_fluoroquinolones,adq_all_antibacterials,adq_vitamin_d,adq_levothyroxine,rate_total_items,rate_antituberculosis,rate_oral_glucocorticoids,rate_oral_hydrocortisone,rate_oral_dexamethasone,rate_inhaled_corticosteroids,rate_conventional_dmards,rate_transplant_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine
E07000196,2023,113280,25.664724576271187,31.999470338983052,530.0,4.678672316384181,215.33333333333331,1.900894538606403,8.0776361091143,0.947049797,1977471.0,29.0,12631.0,812.0,279.0,35578.0,4881.0,210.0,118698.0,130932.0,34529.0,14503.0,822.0,62045.0,47822.0,49348.0,2396432.971,,,,,1953351.66667,,,5518062.68331,6995613.66647,1324438.56662,,11277.50004,702606.47481,,1345539.25,17456.488347457627,0.2560028248587571,111.50247175141243,7.168079096045198,2.4629237288135597,314.07132768361583,43.08792372881356,1.853813559322034,1047.8283898305085,1155.8262711864406,304.81108757062145,128.027895480226,7.25635593220339,547.7136299435028,422.15748587570624,435.62853107344637
E07000196,2024,114174,25.92709373412511,32.01166640390982,264.0,2.3122602343791057,29.666666666666668,0.25983732431785406,8.377782786,0.890681446,2040395.0,10.0,12355.0,749.0,326.0,36606.0,4943.0,173.0,121418.0,140416.0,35904.0,15010.0,690.0,62883.0,50616.0,50263.0,2322941.683,,,,,1877431.66667,,,5661859.99997,7705417.99981,1390166.76617,,9183.99998,695071.94984,,1352589.0,17870.925079264984,0.0875856149386025,108.21202725664338,6.560162558901326,2.855291046998441,320.6159020442483,43.293569464151204,1.515231138437823,1063.4470194615235,1229.8421707218808,314.46739187555835,131.46600802284235,6.043407430763572,550.764622418414,443.32334857323036,440.23157636589764
E07000196,2025,114811,26.217871109911073,32.04570990584526,,,90.0,0.783897013352379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000197,2011,130895,19.48584743496696,36.81576836395584,,,,,,0.529457688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000197,2012,131324,20.2270719746581,36.377965946818556,477.0,3.632237824007798,,,5.68432424450269,0.608361006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000197,2013,131485,20.78944366277522,35.75312773320151,525.0,3.9928508955394153,,,6.15461050236621,0.648379683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000197,2014,131312,21.36590715243085,35.12017180455709,651.0,4.9576580967466795,4.0,0.030461800901669306,6.28253285581775,0.638544142,2472104.0,82.0,14795.0,842.0,547.0,42622.0,8054.0,1450.0,127043.0,148485.0,41270.0,17070.0,2188.0,91458.0,31789.0,78181.0,3285966.835,,,,,3569924.16667,,,5503413.33355,5988369.99882,1398829.93317,,25404.43326,961673.03324,,1974480.25,18826.18496405507,0.6244669184842209,112.67058608504935,6.412209089801389,4.165651273303278,324.5857195077373,61.334836115511145,11.042402826855124,967.4896429876935,1130.7801267210918,314.2896308029731,129.99573534787376,16.662605093213113,696.4938467162178,242.0875472157914,595.383514073352
E07000197,2015,131221,21.751853742922247,34.5569687778633,643.0,4.900130314507587,2.0,0.015241462875606801,6.44241351260826,0.66805625,2499295.0,57.0,14894.0,879.0,533.0,44335.0,7730.0,748.0,131822.0,150339.0,42914.0,17390.0,1746.0,84989.0,36501.0,78278.0,3259140.477,,,,,3518531.66669,,,5804344.24999,6208974.99917,1453529.56639,,19039.19998,917845.16665,,1943971.05,19046.45597884485,0.4343816919547938,113.50317403464385,6.6986229338291885,4.0618498563492125,337.86512829501373,58.90825401422028,5.700307115476943,1004.5800595941199,1145.6931436279253,327.03606892189515,132.52451970340113,13.305797090404736,647.6783441674731,278.1643182112619,596.5356154883746
E07000197,2016,132507,21.96638668145834,34.337808568603926,726.0,5.47895582874867,,,6.49455617363191,0.835067511,2552827.0,46.0,14774.0,898.0,459.0,46511.0,7853.0,652.0,135497.0,152338.0,43802.0,17515.0,1467.0,87183.0,41984.0,78057.0,3085441.104,,,,,3507979.66668,,,6003749.16669,6379847.16569,1479506.66647,,16268.43334,952657.28324,,1904506.55,19265.60106258537,0.3471514712430287,111.49599643792403,6.777000460353038,3.463967941316308,351.0078712822719,59.26479355807618,4.920494766314232,1022.564845630797,1149.6600179613151,330.56366833450306,132.18169606134015,11.071113224207023,657.9501460300211,316.8436384492895,589.0783128438497
E07000197,2017,133199,22.287704862649118,33.705958753444094,604.0,4.534568577842176,,,6.58823529411765,0.875505745,2533327.0,14.0,14806.0,893.0,390.0,48117.0,7407.0,473.0,136845.0,154862.0,43327.0,17331.0,1533.0,82305.0,47968.0,77106.0,3042765.121,,,,,3434867.33332,,,6141033.99999,6594794.33276,1456442.9997399999,,18634.26668,938475.79979,,1862921.0,19019.114257614547,0.1051058941883948,111.15699066809812,6.704254536445468,2.9279499095338553,361.2414507616424,55.60852558953145,3.5510777107936247,1027.3725778722062,1162.6363561288,325.28021982147015,130.11358944136217,11.509095413629232,617.9100443697024,360.122823744923,578.878219806455
E07000197,2018,134069,22.571959215031065,33.38504799767284,566.0,4.22170673310012,4.0,0.02983538327279237,6.76546819964112,0.938818157,2548547.0,15.0,14970.0,906.0,375.0,50055.0,7244.0,404.0,138658.0,158381.0,43932.0,17356.0,1687.0,77322.0,54311.0,77711.0,3034581.0500000003,,,,,3375171.33334,,,6206332.58338,6806852.99952,1482846.63287,,20964.03328,878599.1916199999,,1855561.75,19009.219133431296,0.11188268727297139,111.65892189842543,6.757714311287471,2.7970671818242847,373.3525274299055,54.031879107026974,3.0133737105520293,1034.228643459711,1181.3394595320322,327.6820144850786,129.4557280206461,12.583072895300182,576.7328763547129,405.09737523215654,579.6343673779919
E07000197,2019,135286,22.813151397779517,33.07954999039073,520.0,3.843708883402569,2.0,0.014783495705394499,6.9235984256417,0.909570277,2548689.0,17.0,15037.0,977.0,402.0,52623.0,6910.0,326.0,143339.0,160650.0,44644.0,17580.0,1464.0,72642.0,57920.0,78496.0,2936002.365,,,,,3366729.33333,,,6393556.16672,6963314.83287,1493587.16635,,18542.33351,824237.75023,,1858997.5,18839.2664429431,0.12565971349585323,111.14971246100853,7.221737652085212,2.9714826367842937,388.9759472524873,51.076977662137985,2.409709799979303,1059.5257454577709,1187.4842925358132,329.99719113581597,129.94692725041762,10.821518856348773,536.9513475156335,428.1300356282247,580.2226394453232
E07000197,2020,135685,22.990750635663485,32.94984707226296,490.0,3.6113055975236765,2.0,0.014740022847035414,6.87392799902524,0.856751204,2596527.0,9.0,13213.0,988.0,364.0,58270.0,6934.0,348.0,160639.0,166583.0,46328.0,17677.0,1392.0,64394.0,61614.0,79473.0,2575447.715,,,,,3602894.00005,,,7003441.25013,7302559.1663,1532956.96638,,17854.99994,717425.69171,,1885054.375,19136.43365147216,0.06633010281165935,97.37996093893946,7.281571286435494,2.6826841581604453,429.45056564837677,51.10365921067177,2.5647639753841616,1183.9112650624609,1227.71861296385,341.4378892287283,130.27969193352249,10.259055901536646,474.5845156059992,454.09588384861996,585.7169178612227
E07000197,2021,137201,23.030444384516148,33.305150837093024,398.0,2.9008534923214846,2.0,0.014577153227746152,7.02830626450116,0.962155223,2608415.0,3.0,12643.0,947.0,372.0,57397.0,6906.0,294.0,165945.0,169922.0,47057.0,17645.0,1334.0,64826.0,64674.0,79555.0,2409299.958,,,,,3169060.33341,,,7130003.74976,7484425.99991,1546469.79936,,16917.66666,703853.79173,,1854154.0,19011.63256827574,0.02186572984161923,92.14947412919732,6.902282053337804,2.7113505003607843,418.34243190647294,50.33491009540747,2.1428415244786843,1209.5028461891677,1238.489515382541,342.97854971902535,128.60693435179044,9.722961202906685,472.4892675709361,471.3814039256274,579.8427125166726
E07000197,2022,138618,23.180972168116696,33.38599604668946,636.0,4.588148725273774,2.0,0.014428140645515014,7.35816661004655,0.956454754,2679879.0,8.0,13156.0,1004.0,344.0,57784.0,6512.0,263.0,169485.0,179147.0,48602.0,18314.0,1210.0,75024.0,67798.0,79636.0,2473722.112,,,,,2780001.66675,,,7261083.66653,7973387.4997,1604057.13276,,15642.16668,796951.7082,,1857789.5,19332.83556248106,0.057712562582060055,94.90830916619774,7.242926604048536,2.481640191028582,416.8578395302198,46.978025941796886,1.8973004948852241,1222.6767086525558,1292.3790561110388,350.6182458266603,132.11848389098097,8.729025090536583,541.2284118945591,489.0995397423134,574.4997042231169
E07000197,2023,140321,23.278055316025398,33.75474804198944,948.0,6.755938170338011,73.66666666666667,0.5249867565558018,7.54181072423525,1.044986725,2804032.0,2.0,13264.0,1174.0,337.0,59261.0,6384.0,231.0,175379.0,195745.0,51582.0,19117.0,963.0,76720.0,70264.0,81678.0,2492052.9220000003,,,,,2645154.66671,,,7492940.33318,8735200.83324,1698261.36635,,12804.66665,816442.24155,,1904238.9,19982.98187726712,0.014253034114637153,94.5261222482736,8.36653102529201,2.4016362483163607,422.3245273337562,45.49568489392179,1.6462254402405911,1249.8414349954746,1394.9800813848249,367.60000285060687,136.23762658475925,6.86283592619779,546.7463886374811,500.7375945154324,582.0796602076666
E07000197,2024,141610,23.382529482381187,34.05550455476308,839.0,5.9247228303085935,,,7.69961892,1.112434387,2904663.0,1.0,13184.0,1144.0,316.0,61099.0,6256.0,205.0,179580.0,213105.0,53513.0,20071.0,681.0,77494.0,71058.0,82658.0,2449581.218,,,,,2498940.33335,,,7580711.91656,9579110.33319,1746603.13235,,10169.99998,813340.62475,,1904371.5,20511.70821269684,0.00706164818868724,93.10076971965258,8.078525527858202,2.231480827625168,431.4596426806017,44.17767106842737,1.4476378786808841,1268.1307817244544,1504.872537250194,377.88997952122025,141.73434079514158,4.80898241649601,547.2353647341289,501.7865969917379,583.7017159805099
E07000197,2025,142903,23.67130151221458,34.10495231030839,,,12.0,0.0839730446526665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000198,2011,97209,21.17293666224321,33.74790400065837,,,,,,0.593086839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000198,2012,96936,22.224973178179418,33.01869274572914,86.0,0.8871832961954279,,,7.0744038529832,0.597070634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000198,2013,96958,22.9738649724623,32.40784669650777,75.0,0.7735308071536129,,,7.25313768623453,0.54294914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000198,2014,97235,23.564560086388646,31.94631562708901,126.0,1.295829690954903,,,7.53179227562833,0.580850661,1900383.0,43.0,14212.0,463.0,369.0,38156.0,6231.0,1021.0,100071.0,113375.0,34110.0,11588.0,962.0,62126.0,24610.0,46043.0,3020478.457,,,,,2766240.16669,,,4173563.41645,5038767.3328,1284746.03269,,12971.80003,667183.81662,,1224591.75,19544.227901475806,0.4422275929449272,146.16136164961176,4.761659896127937,3.794929809225073,392.41014038154987,64.08186352650795,10.500334241785366,1029.166452409112,1165.989612793747,350.7996091942202,119.17519411734457,9.893556846814418,638.9263125417802,253.09816424127112,473.5229084177508
E07000198,2015,97102,24.110728924224013,31.319643261724785,104.0,1.0710387015715432,,,7.59878419452887,0.601255119,1921657.0,17.0,13819.0,439.0,415.0,39811.0,6558.0,534.0,105231.0,115462.0,35554.0,11949.0,874.0,58027.0,27196.0,46209.0,2985467.369,,,,,2663635.33337,,,4478157.16685,5119321.49947,1321440.5329,,11344.66663,635541.32502,,1205708.75,19790.08671294103,0.17507363391073305,142.3142674713188,4.521019134518341,4.2738563572326,409.99155527177606,67.53722889332866,5.4993717946077325,1083.7160923564911,1189.0795246235916,366.1510576507178,123.05616774113818,9.000844472822394,597.5881032316533,280.0766204609586,475.8810323165331
E07000198,2016,96932,24.568769859282796,30.77105599801923,103.0,1.062600585977799,,,7.61418655609935,0.603784978,1953356.0,3.0,13802.0,405.0,430.0,40059.0,6609.0,461.0,110116.0,116831.0,35362.0,11884.0,830.0,59565.0,32210.0,46901.0,2953767.77,,,,,2447468.5,,,4744811.58354,5203135.16642,1313050.93286,,10461.13327,650889.31646,,1213235.0,20151.81776915776,0.030949531630421325,142.38847852102504,4.178186770106879,4.4360995336937235,413.26909586101596,68.18181818181817,4.755911360541411,1136.0128750051583,1205.2882433045845,364.8124458383196,122.60141129864235,8.562703751083234,614.5029505220155,332.2948046052903,483.85466099946353
E07000198,2017,96947,24.895045746645074,30.35266692110122,89.0,0.9180273757826442,,,7.74583289653003,0.641618371,1973130.0,17.0,13735.0,502.0,361.0,41312.0,6385.0,407.0,113144.0,121938.0,35957.0,11998.0,1054.0,59374.0,36113.0,48037.0,2855839.846,,,,,2380188.83333,,,4905112.33349,5407513.33316,1323894.99997,,13342.33336,652358.9667400001,,1221037.25,20352.66692110122,0.17535354368881967,141.67534838623166,5.178086995987498,3.7236840748037587,426.12974099250107,65.86072802665375,4.198170134197036,1167.0706674781065,1257.7800241368996,370.89337473052285,123.75834218696814,10.87191970870682,612.4377237047046,372.5025013667261,495.49753989293123
E07000198,2018,96591,25.245623298236897,30.029712913211377,84.0,0.8696462403329502,,,7.92836867372166,0.703622699,1981014.0,22.0,13370.0,501.0,245.0,42257.0,6605.0,381.0,114330.0,126080.0,36488.0,12275.0,1121.0,58008.0,37504.0,49638.0,2735229.095,,,,,2222137.99995,,,4990833.16669,5660823.9998,1349850.20004,,13311.00003,646445.96676,,1253212.6,20509.302108892134,0.2277644915157727,138.4186932529946,5.186818647700096,2.536468200971105,437.48382354463666,68.38111211189448,3.944466875795882,1183.6506506817407,1305.2975950140283,377.75776211034156,127.08223333436864,11.605636135871872,600.5528465384974,388.27634044579725,513.8988104481784
E07000198,2019,96366,25.738330946599422,29.726251997592513,94.0,0.9754477720357803,1.0,0.01037710395782745,8.02575555729697,0.726980567,2040362.0,3.0,13678.0,603.0,259.0,43543.0,6965.0,460.0,121040.0,130538.0,37824.0,12997.0,1081.0,57973.0,41649.0,51141.0,2852100.059,,,,,2242737.66663,,,5263560.16658,5887627.83297,1385614.39973,,13285.86656,637101.49988,,1282032.0,21173.048585600733,0.031131311873482344,141.93802793516386,6.2573936865699515,2.6876699250773095,451.8502376356806,72.2765290662682,4.773467820600627,1256.0446630554345,1354.6063964468794,392.50358010086546,134.87122013988338,11.217649378411474,601.5918477471307,432.19600273955547,530.6954735072535
