year,age_group,birthplace,tb_count,region_name
2018,0 to 14,All places of birth,8.0,East Midlands
2018,15 to 44,Non-UK born,163.0,East Midlands
2018,15 to 44,UK born,31.0,East Midlands
2018,15 to 44,All places of birth,194.0,East Midlands
2018,45 to 64,Non-UK born,64.0,East Midlands
2018,45 to 64,UK born,24.0,East Midlands
2018,45 to 64,All places of birth,88.0,East Midlands
2018,65 and older,Non-UK born,29.0,East Midlands
2018,65 and older,UK born,14.0,East Midlands
2018,65 and older,All places of birth,43.0,East Midlands
2019,0 to 14,Non-UK born,6.0,East Midlands
2019,0 to 14,UK born,7.0,East Midlands
2019,0 to 14,All places of birth,13.0,East Midlands
2019,15 to 44,Non-UK born,168.0,East Midlands
2019,15 to 44,UK born,28.0,East Midlands
2019,15 to 44,All places of birth,196.0,East Midlands
2019,45 to 64,Non-UK born,77.0,East Midlands
2019,45 to 64,UK born,22.0,East Midlands
2019,45 to 64,All places of birth,99.0,East Midlands
2019,65 and older,Non-UK born,25.0,East Midlands
2019,65 and older,UK born,16.0,East Midlands
2019,65 and older,All places of birth,41.0,East Midlands
2020,0 to 14,Non-UK born,6.0,East Midlands
2020,0 to 14,UK born,5.0,East Midlands
2020,0 to 14,All places of birth,11.0,East Midlands
2020,15 to 44,Non-UK born,141.0,East Midlands
2020,15 to 44,UK born,30.0,East Midlands
2020,15 to 44,All places of birth,171.0,East Midlands
2020,45 to 64,Non-UK born,62.0,East Midlands
2020,45 to 64,UK born,26.0,East Midlands
2020,45 to 64,All places of birth,88.0,East Midlands
2020,65 and older,Non-UK born,19.0,East Midlands
2020,65 and older,UK born,23.0,East Midlands
2020,65 and older,All places of birth,42.0,East Midlands
2021,0 to 14,Non-UK born,3.0,East Midlands
2021,0 to 14,UK born,1.0,East Midlands
2021,0 to 14,All places of birth,4.0,East Midlands
2021,15 to 44,Non-UK born,178.0,East Midlands
2021,15 to 44,UK born,33.0,East Midlands
2021,15 to 44,All places of birth,211.0,East Midlands
2021,45 to 64,Non-UK born,74.0,East Midlands
2021,45 to 64,UK born,18.0,East Midlands
2021,45 to 64,All places of birth,92.0,East Midlands
2021,65 and older,Non-UK born,20.0,East Midlands
2021,65 and older,UK born,22.0,East Midlands
2021,65 and older,All places of birth,42.0,East Midlands
2022,0 to 14,Non-UK born,6.0,East Midlands
2022,0 to 14,UK born,5.0,East Midlands
2022,0 to 14,All places of birth,11.0,East Midlands
2022,15 to 44,Non-UK born,177.0,East Midlands
2022,15 to 44,UK born,34.0,East Midlands
2022,15 to 44,All places of birth,211.0,East Midlands
2022,45 to 64,Non-UK born,84.0,East Midlands
2022,45 to 64,UK born,26.0,East Midlands
2022,45 to 64,All places of birth,110.0,East Midlands
2022,65 and older,Non-UK born,35.0,East Midlands
2022,65 and older,UK born,16.0,East Midlands
2022,65 and older,All places of birth,51.0,East Midlands
2023,0 to 14,Non-UK born,5.0,East Midlands
2023,0 to 14,UK born,5.0,East Midlands
2023,0 to 14,All places of birth,10.0,East Midlands
2023,15 to 44,Non-UK born,194.0,East Midlands
2023,15 to 44,UK born,29.0,East Midlands
2023,15 to 44,All places of birth,223.0,East Midlands
2023,45 to 64,Non-UK born,82.0,East Midlands
2023,45 to 64,UK born,28.0,East Midlands
2023,45 to 64,All places of birth,110.0,East Midlands
2023,65 and older,Non-UK born,30.0,East Midlands
2023,65 and older,UK born,22.0,East Midlands
2023,65 and older,All places of birth,52.0,East Midlands
2024,0 to 14,Non-UK born,6.0,East Midlands
2024,0 to 14,UK born,7.0,East Midlands
2024,0 to 14,All places of birth,13.0,East Midlands
2024,15 to 44,Non-UK born,229.0,East Midlands
2024,15 to 44,UK born,33.0,East Midlands
2024,15 to 44,All places of birth,262.0,East Midlands
2024,45 to 64,Non-UK born,83.0,East Midlands
2024,45 to 64,UK born,13.0,East Midlands
2024,45 to 64,All places of birth,96.0,East Midlands
2024,65 and older,Non-UK born,35.0,East Midlands
2024,65 and older,UK born,15.0,East Midlands
2024,65 and older,All places of birth,50.0,East Midlands
2001,0 to 14,Non-UK born,4.0,East of England
2001,0 to 14,UK born,12.0,East of England
2001,0 to 14,All places of birth,16.0,East of England
2001,15 to 44,Non-UK born,116.0,East of England
2001,15 to 44,UK born,43.0,East of England
2001,15 to 44,All places of birth,159.0,East of England
2001,45 to 64,Non-UK born,25.0,East of England
2001,45 to 64,UK born,23.0,East of England
2001,45 to 64,All places of birth,48.0,East of England
2001,65 and older,Non-UK born,18.0,East of England
2001,65 and older,UK born,33.0,East of England
2001,65 and older,All places of birth,51.0,East of England
2002,0 to 14,Non-UK born,1.0,East of England
2002,0 to 14,UK born,10.0,East of England
2002,0 to 14,All places of birth,11.0,East of England
2002,15 to 44,Non-UK born,147.0,East of England
2002,15 to 44,UK born,38.0,East of England
2002,15 to 44,All places of birth,185.0,East of England
2002,45 to 64,Non-UK born,48.0,East of England
2002,45 to 64,UK born,21.0,East of England
2002,45 to 64,All places of birth,69.0,East of England
2002,65 and older,Non-UK born,13.0,East of England
2002,65 and older,UK born,36.0,East of England
2002,65 and older,All places of birth,49.0,East of England
2003,0 to 14,Non-UK born,3.0,East of England
2003,0 to 14,UK born,8.0,East of England
2003,0 to 14,All places of birth,11.0,East of England
2003,15 to 44,Non-UK born,162.0,East of England
2003,15 to 44,UK born,30.0,East of England
2003,15 to 44,All places of birth,192.0,East of England
