utla,year,population,pct_age_65plus,pct_age_15_44,intl_in_per_1000,hiv_prev,diabetes_prev,tb_count,ddd_antiproliferative,ddd_antituberculosis_active,ddd_antituberculosis_mdr,ddd_antituberculosis_rifamycin_isoniazid,ddd_il6_abatacept,ddd_jak_inhibitor_rheum,ddd_low_tb_risk_biologic,ddd_negative_control_levetiracetam,ddd_rituximab,ddd_ruxolitinib,ddd_systemic_glucocorticoid,ddd_tnf_inhibitor,ddd_transplant_cni_mtor,pred_mg_antiproliferative,pred_mg_antituberculosis_active,pred_mg_antituberculosis_mdr,pred_mg_antituberculosis_rifamycin_isoniazid,pred_mg_il6_abatacept,pred_mg_jak_inhibitor_rheum,pred_mg_low_tb_risk_biologic,pred_mg_negative_control_levetiracetam,pred_mg_rituximab,pred_mg_ruxolitinib,pred_mg_systemic_glucocorticoid,pred_mg_tnf_inhibitor,pred_mg_transplant_cni_mtor,pct_non_uk_born,principal_trust,rate_antituberculosis_active,rate_antituberculosis_rifamycin_isoniazid,rate_tnf_inhibitor,rate_il6_abatacept,rate_jak_inhibitor_rheum,rate_rituximab,rate_transplant_cni_mtor,rate_antiproliferative,rate_systemic_glucocorticoid,rate_low_tb_risk_biologic,rate_negative_control_levetiracetam,rate_glucocorticoid_pred_mg
E08000001,2019,294888,17.03901142128537,37.45625457800928,9.135671848294946,2.117586851,8.65241355727975,30,115073.17100754779,6346.66304022428,1.8703947862120947,29895.627060652918,7196.378019599423,8889.839602932694,39790.05868117812,11452.832898576513,53918.63224543772,3503.0858438078612,484412.5168236243,106248.4628394127,35182.335457805304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4959656.856531144,0.0,0.0,16.91303422341004,RMC,0.058965159377196374,0.2777523248264855,0.9871262276257075,0.0668596353981379,0.08259313685040295,0.5009436807346752,0.32686972734858893,1.0691142456272025,4.50054793799238,0.3696788590939204,0.10640522632206695,16818.78155954513
E08000001,2020,295712,17.103127367168057,37.46043447678823,8.49813331890488,1.633498907,8.60490573687411,39,116321.08188970889,6388.150745754122,3.880239628886371,18483.2305942667,16693.798751204045,10491.812208449486,74543.1012612277,11650.474985516083,43411.3029339514,3464.113168927927,390315.83397971705,181465.31130554597,28663.92214059484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4022156.3140989463,0.0,0.0,16.91303422341004,RMC,0.05918523044408,0.17124427797822817,1.6812480942726389,0.15466546820827562,0.09720502036458915,0.40219901976035366,0.26556681343968547,1.0776968658297381,3.6162159440925588,0.6906303250740418,0.10793985211746271,13601.599915116554
E08000001,2021,296169,17.22091103390294,37.60859509266669,8.512031981740156,2.097947598,8.83819956215969,36,151675.29479690213,5526.373599912245,29.46227590727013,23223.521258080887,24308.84469484094,10421.706894667228,88176.8159736522,13219.323758847817,48802.2377046683,2873.723078547904,464959.0376343245,206671.61265711038,32795.37226756404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4757937.263655122,0.0,0.0,16.91303422341004,RMC,0.05112199314850869,0.21483033551309483,1.9118260058306247,0.22487017380756774,0.09640651664835037,0.45144752095833013,0.30337521813433377,1.4030798391061354,4.301126644180657,0.8156840106021678,0.12228601023978318,16064.940164754322
E08000001,2022,299591,17.19243902520436,37.96075316014166,19.92382948753467,2.085334778,9.15138795390647,50,156416.02013165108,9059.748057894836,76.78688023756312,30360.14042647066,18530.199540116737,10361.956888980734,108518.2619202415,15872.230485912518,44684.317474109776,2821.6147728123865,469305.2411493865,217557.03508589033,32710.036668730194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4783797.6553543545,0.0,0.0,16.91303422341004,RMC,0.08285037786808103,0.2776400723714578,1.9895346371159102,0.16945659239737698,0.09475893128801886,0.4086330617418439,0.2991296094289845,1.430406926298114,4.291743690467745,0.99238731013548,0.14514976409539268,15967.76156611632
E08000001,2023,304761,17.036956828465584,38.546598810215215,23.247725266684387,2.138634443,9.417527734002,44,172306.06571670517,9068.111332781948,67.65988531959229,32514.83214872668,18423.816833346,15255.826828103778,133570.09469700887,16886.84461844427,53919.88343948329,2607.095210729991,486299.2538731174,252449.041124269,33269.40337913232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4948387.688216532,0.0,0.0,16.91303422341004,RMC,0.08152007848037891,0.29230030061037887,2.2694544530292298,0.16562555741160387,0.13714611065858592,0.48472641858170457,0.29908370937812645,1.54898892221275,4.371710038161207,1.2007621215421658,0.1518085572686962,16236.94530539187
E08000001,2024,308904,16.99265791313806,38.9658275710253,19.171004583948413,2.097709417,9.544376435,61,166765.39280115723,9664.872770982316,57.957361151410026,31499.083339604742,19919.90758602263,23835.425200572143,159323.0484580275,17838.132440336358,73267.09324030872,2615.5831112832125,477683.9095065557,273887.15808732825,35596.30462120589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4883183.709739205,0.0,0.0,16.91303422341004,RMC,0.08571952283603751,0.2793711265139672,2.4291552572375923,0.17667330069139386,0.21140074196542638,0.6498192393177675,0.31571013081695015,1.4790727446923904,4.236665888897483,1.413065232644229,0.1582096564853447,15808.094779411096
E08000002,2011,185422,16.075223004821435,38.701448587546246,,1.712422848,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
E08000002,2012,186632,16.637018303399202,38.180483518367694,3.8525011787903463,1.872177958,6.12074323996795,23,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
E08000002,2013,187093,17.024153763101772,37.7079847990037,3.83766362183513,1.923997521,6.51083545691022,16,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
E08000002,2014,188406,17.41345817012197,37.2440368141142,4.585841215247922,1.704142451,6.94084473144547,25,,,,,,,,,,,,,,,,,,,,,,,,,,,12.072078578650869,RM3,,,,,,,,,,,,
