utla,year,population,pct_age_65plus,pct_age_15_44,international_in,intl_in_per_1000,asylum_supported,asylum_per_1000,diabetes_prev,hiv_prev,items_total,items_antituberculosis,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,items_inhaled_corticosteroids,items_conventional_dmards,items_transplant_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,mg_pred_equivalent,adq_antituberculosis,adq_oral_glucocorticoids,adq_oral_hydrocortisone,adq_oral_dexamethasone,adq_inhaled_corticosteroids,adq_conventional_dmards,adq_transplant_immunosuppressants,adq_proton_pump_inhibitors,adq_statins,adq_metformin,adq_insulins,adq_fluoroquinolones,adq_all_antibacterials,adq_vitamin_d,adq_levothyroxine,rate_total_items,rate_antituberculosis,rate_oral_glucocorticoids,rate_oral_hydrocortisone,rate_oral_dexamethasone,rate_inhaled_corticosteroids,rate_conventional_dmards,rate_transplant_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine
E07000102,2012,89115,17.235033383829883,37.217079055153455,448.0,5.0272120294002125,,,5.07805360475273,0.908985436,1416323.7289800115,153.7582990403,10961.3252271742,359.8449660774,327.5104999006,24936.0460711744,4445.2141625231,680.9110529872,58295.7792791459,85578.6839976827,22112.1188316599,9195.249003057701,1434.2072721118,64618.3427089984,26873.3229705708,44467.9889758546,2585512.7085367143,,,,,,,,,,,,,,,,15893.213588958217,1.7253918985614092,123.00202241120125,4.037984245945127,3.675144475123155,279.81872940778095,49.88177256941143,7.640813027966112,654.1634885164775,960.3173876191742,248.13015577242774,103.18407678906695,16.09389297101274,725.1118522021927,301.55779577591653,498.995556032706
E07000102,2013,89814,17.52956109292538,36.940788741176206,445.0,4.954684124969381,,,5.23743948587471,1.111984491,1458633.245557421,146.423997567,11633.8603444661,415.677137856,428.6206545414,25525.7385608387,4726.3251503506,629.5274453431,62396.6473168845,89329.4239242869,23544.7243536435,9467.614313682,1209.2329532771,60090.0090725113,29155.8186855194,46721.5929215896,2470426.2354849167,,,,,,,,,,,,,,,,16240.599968350378,1.630302598336562,129.53281609176855,4.6281998113434435,4.77231450042755,284.2066778101265,52.62347908288908,7.009235145334803,694.7318604770359,994.6046710344366,262.1498246781515,105.41356930636648,13.463746779757054,669.0494697097479,324.6244314418621,520.2038982963636
E07000102,2014,90723,17.72758837340035,36.66765869735348,508.0,5.599462098916482,1.0,0.011022563186843469,5.46819051429289,1.066686988,1490674.6781047378,132.6619063589,11870.8539105023,484.52983688169996,398.5150750694,26327.4026897687,4822.0572883748,569.3085003692,65804.1718092404,90704.3030780461,24594.591019683998,9698.393742054699,1096.765617956,60215.5341155021,30615.3689946747,47798.5272510442,2471747.836207086,,,,,2444778.64617145,,,2820926.863576961,3853070.2877123,930567.9709270229,,12191.022657331469,681375.4749618652,,1223290.1456743325,16431.05583043702,1.4622742453280868,130.84723731029948,5.340760742939496,4.39265759586213,290.1954596934482,53.15143115169031,6.275238918126606,725.3306417252561,999.7939119963636,271.0954335690398,106.9011578326852,12.089168325077432,663.7295296176504,337.4598392323303,526.8622868626941
E07000102,2015,91961,17.764052152542927,36.64053239960418,548.0,5.9590478572438315,1.0,0.010874174921977795,5.64156785741258,1.167740226,1512924.3016357506,202.49359906589999,11671.2655742897,595.2904605619,372.1888036425,26901.357122879603,5077.3287616672,596.1038622379,70207.4664799966,93487.8693920772,25972.8066572369,10134.77931857,1037.2165645058,55410.9128185009,32014.4541748189,49287.4651046042,2452993.518915536,,,,,2454740.5488638035,,,2940895.2103730794,4036458.217753244,971159.6910514584,,12203.558464352554,647660.5700950203,,1239992.0109342844,16451.803499698246,2.201950816823436,126.91538341568383,6.473292597534824,4.047246154810191,292.5300629927861,55.21176109075803,6.482137669641478,763.4482713323757,1016.6034448524615,282.4328428055034,110.20736310577308,11.278874354408936,602.5479585748404,348.130774728623,535.9605170083427
E07000102,2016,92959,17.84550178035478,36.446175195516304,643.0,6.917027937047515,,,5.9753689383319,1.28943038,1582856.2427426898,184.9623493613,12230.0564641743,627.001300473,390.46776997250004,27807.3302783832,5352.5130072295,574.7016176366,75280.9202665611,98914.0158580537,28042.9064907394,10453.8408586014,1161.5087419623,57168.8486479601,36007.5876012772,52564.2898124011,2497024.491523297,,,,,2458000.6141198045,,,3133027.602357669,4310697.255560803,1046001.5789003273,,14391.19008543337,661780.5796563132,,1285587.932615677,17027.466331852644,1.9897196544853106,131.56398481238287,6.74492303567164,4.20042997420906,299.1354282897105,57.5792877207102,6.182312822175367,809.8292824423788,1064.0606703821436,301.6696230675825,112.456468535606,12.494849793589648,614.9899272578244,387.34912812398153,565.4567047020847
E07000102,2017,93075,17.924254633360192,35.94090786999731,611.0,6.564598442116573,,,6.2640896931077,1.393308401,1556557.0255570055,157.2946121017,11842.3518378525,548.6982668964,300.35247721310003,27202.6041754555,5396.7317286911,539.0122506542,76600.4556981614,100564.8988136792,29231.208384926398,10290.924654802,1228.040362158,54095.4954069347,35742.8362495015,52571.6709011632,2340859.7506944276,,,,,2335227.0092738573,,,3170302.607927491,4451089.930811076,1061370.101786043,,15881.101256678727,634677.9942641328,,1280320.156656701,16723.685474692513,1.6899770303701318,127.234508061805,5.89522714903465,3.2269941145645986,292.2654222450228,57.98261325480634,5.79116036158152,822.9971066146807,1080.4716498917992,314.06079382139563,110.5659377362557,13.194094678033844,581.2032812993253,384.02187751277467,564.831274790902
E07000102,2018,93209,17.88561190442983,35.73367378686608,596.0,6.394232316621785,2.333333333333333,0.02503334799572287,6.55898625736213,1.315789461,1528224.2515984676,110.8744631072,11024.2516218692,538.9778011012,335.5236469908,26861.6737952703,5666.9517549788,576.6234501513,78075.6994556912,103275.8762689103,31070.8734105268,10230.6459022297,1307.4119205513,49963.2816309629,35128.6845213396,53080.6368430346,2304405.3428617436,,,,,2204033.1540083783,,,3195858.3896586704,4648357.470707486,1109264.487277981,,17187.28369934877,583737.1867706669,,1264499.7476735606,16395.672645328963,1.1895252937720606,118.27454024685599,5.7824652244010775,3.599691521106331,288.1875547991106,60.79833229601004,6.186349495770794,837.6412090644808,1108.0032643726497,333.3462799786158,109.7602796106567,14.026670391821604,536.034949746944,376.8808218234248,569.4797373969745
E07000102,2019,93443,17.92750660830667,35.69448754855902,576.0,6.16418565328596,,,6.54179438811601,1.240205169,1555062.5269889683,98.3521952902,10749.1435572505,567.7195558937,335.4809986602,27580.7827989144,5587.3104024192,524.0192183153,82802.25210980201,108006.1863577737,33167.1303807236,10545.8214028137,1064.1835589374,48560.0910896002,37045.1109215558,55265.6212820296,2246735.228448026,,,,,2150814.9558993257,,,3335007.5693596564,4873917.072121862,1154124.352655749,,13034.77889675199,566995.3904428168,,1286082.1153051995,16641.830067409737,1.052536790237899,115.03423003596309,6.075570731822609,3.590220761963978,295.1615722837922,59.793782331680276,5.607902339557805,886.1257890885568,1155.8510146054139,354.9450507873634,112.85833505788236,11.38858511539013,519.676070862453,396.44607858861343,591.4367184489967
E07000102,2020,93795,18.081987312756542,35.47417239724932,472.0,5.03225118609734,,,6.62083240925556,1.231113553,1556641.6827075738,159.5792148217,9612.4815076178,520.1671492653,290.6054922423,30120.738416359698,5684.6881717203005,493.4252788068,90748.7723088011,111393.2556667756,33928.2242312426,10350.9541895333,919.9370895469,44065.3348962944,39481.4253421197,56727.8390006624,2070246.4988147356,,,,,2313592.369546786,,,3679666.396846211,5174482.327437715,1207207.2252579182,,11367.436114449454,507849.02683484484,,1303487.1966096233,16596.211767232515,1.701361637845301,102.48394378823818,5.545787614108428,3.0983047309803293,321.1337322496903,60.607582192230936,5.260677848571886,967.5224938301732,1187.6246672719826,361.7274293005235,110.35720656253852,9.807954470354495,469.80473262214826,420.93315573452423,604.806642152166
E07000102,2021,93934,18.105265399110014,35.51749100432218,499.0,5.312240509293759,,,6.72880433983623,1.297666073,1522690.1242231093,45.3033949318,9165.6009603722,447.93100841669997,230.9869072117,28943.7359332939,5473.0869590134,434.6770919725,91755.0019984601,109414.86972525691,33197.9565173339,10286.4861315146,877.3157538841,44607.6256179168,38554.4360554486,55351.5670656592,1919381.9827050571,,,,,2096929.4945659263,,,3810445.3817524244,5271864.415259196,1211521.376341542,,10438.436784902491,505721.2147003273,,1289335.7554770703,16210.212747494083,0.48228963880809933,97.57490323388974,4.768571639839674,2.4590340793716865,308.1284298900707,58.26523898709093,4.62747345979624,976.8028828588168,1164.8058181835854,353.4178946636351,109.50759183591245,9.339703982414248,474.8826369356867,410.4417575685971,589.2601940262226
