utla,year,population,pct_age_65plus,pct_age_15_44,international_in,intl_in_per_1000,asylum_supported,asylum_per_1000,diabetes_prev,hiv_prev,area_name,tb_count,tb_denominator,items_total,items_antituberculosis,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,items_inhaled_corticosteroids,items_conventional_dmards,items_transplant_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,mg_pred_equivalent,adq_antituberculosis,adq_oral_glucocorticoids,adq_oral_hydrocortisone,adq_oral_dexamethasone,adq_inhaled_corticosteroids,adq_conventional_dmards,adq_transplant_immunosuppressants,adq_proton_pump_inhibitors,adq_statins,adq_metformin,adq_insulins,adq_fluoroquinolones,adq_all_antibacterials,adq_vitamin_d,adq_levothyroxine,rate_total_items,rate_antituberculosis,rate_oral_glucocorticoids,rate_oral_hydrocortisone,rate_oral_dexamethasone,rate_inhaled_corticosteroids,rate_conventional_dmards,rate_transplant_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine
E10000015,2014,1156321,16.46938869051068,38.868878105647134,11000.0,9.512929368229065,53.25,0.04605122625983615,5.29256989759399,1.546464682,Hertfordshire,233.0,3431538.0,19437076.0,1154.0,139935.0,7478.0,4134.0,368429.0,65484.0,10921.0,918818.0,1260038.0,337758.0,119348.0,13176.0,741119.0,343761.0,576591.0,30814705.146,,,,,29194336.83329,,,36229388.16625,48493024.32503,11487093.56389,,160540.66678,8356101.64143,,13161929.4,16809.411919354574,0.9979927719033037,121.01743374028493,6.467062346874268,3.5751318189326318,318.6217322006605,56.63133334082837,9.444609239129965,794.6046123870449,1089.6956813895104,292.0970906867557,103.21355402176385,11.394759759616923,640.9284273138687,297.28855568652654,498.64267794150584
E10000015,2015,1167308,16.5467040404075,38.68901780849613,11862.0,10.16184246145833,46.75,0.04004941283705757,5.46006803085765,1.594746351,Hertfordshire,235.0,3467310.0,20069772.0,1208.0,144596.0,8342.0,4420.0,374880.0,68921.0,10670.0,991556.0,1314167.0,363773.0,124074.0,13138.0,709981.0,375089.0,605293.0,31479422.507,,,,,29192454.00004,,,38952999.61644,51161067.99136,12072101.86341,,160093.36673,8176130.1161,,13524093.95,17193.21036093302,1.034859694270921,123.87133472913747,7.146357259609289,3.7864899409581705,321.14917399692285,59.04268624904481,9.140689518104905,849.4381945467692,1125.8099833120307,311.63411884438386,106.29071333358463,11.254955847128608,608.2207951971544,321.3282184307826,518.5375239439805
E10000015,2016,1180234,16.585948210270168,38.4833007691695,13027.0,11.037641688004243,45.25,0.038339854638995315,5.65114740202752,1.618562937,Hertfordshire,261.0,3503863.0,20802037.0,1263.0,151140.0,8460.0,4180.0,383248.0,70665.0,10585.0,1050178.0,1360588.0,388536.0,127467.0,13947.0,724995.0,414859.0,633068.0,31952060.419,,,,,29159566.83321,,,40787819.39952,53066613.4924,12564931.26328,,171516.66606,8330793.99037,,13765338.7,17625.34971878458,1.0701267714707423,128.05935094227078,7.168070060682882,3.5416705500773578,324.7220466449873,59.87371995722882,8.968560471906418,889.8049030954879,1152.8120694709694,329.2025140777168,108.00146411643792,11.817148124863374,614.2807273811803,351.5057183575461,536.3919358364527
E10000015,2017,1185014,16.66984525077341,38.14326244246904,11395.0,9.615920149466588,40.833333333333336,0.03445810204211371,5.81778528956993,1.660880446,Hertfordshire,255.0,3532556.0,20861383.0,1399.0,150636.0,8560.0,4287.0,378842.0,70221.0,10382.0,1077737.0,1408853.0,400825.0,128473.0,14205.0,684679.0,440744.0,644908.0,31183004.999,,,,,28083327.49989,,,41747514.33322,55861103.16096,12703770.16226,,179295.76634,7914241.0741,,13831704.1,17604.33463233346,1.1805767695571527,127.11748553181651,7.223543350542694,3.6176787784785662,319.69411331849244,59.25752775916571,8.761077928193254,909.4719556055878,1188.8914392572578,338.2449490048219,108.41475290587285,11.987200151221842,577.7813595451194,371.93147085182113,544.2197307373584
E10000015,2018,1188182,16.76620248413122,37.86886184103109,12006.0,10.10451260833778,57.166666666666664,0.04811271898300653,6.01548859141714,1.721165419,Hertfordshire,239.0,3553430.0,21005007.0,1362.0,147785.0,8832.0,4196.0,377118.0,71467.0,10100.0,1108040.0,1472244.0,424336.0,130965.0,15554.0,650945.0,469618.0,664128.0,30331889.66,,,,,27025830.66673,,,42265093.61563,59058742.16204,13057193.59399,,195292.39968,7492364.27362,,14039393.0,17678.274035459213,1.146289036528074,124.37909343854729,7.4332046773979075,3.5314455192891323,317.3907701008768,60.14819278528037,8.500381254723603,932.5507371766279,1239.0728019781482,357.1304732776628,110.22301297276006,13.090587132274349,547.8495718669361,395.24079644364247,558.9446734591165
E10000015,2019,1193394,16.92500548854779,37.740511515895,13001.0,10.894138901318424,51.75,0.04336371726353576,6.10085643893473,1.693676233,Hertfordshire,217.0,3566590.0,21371956.0,1254.0,148279.0,8964.0,4273.0,390858.0,72814.0,9975.0,1168776.0,1533038.0,448319.0,137067.0,13188.0,627638.0,485124.0,689567.0,30060996.074,,,,,26787607.00004,,,44205555.51553,62040688.16158,13513753.82786,,167300.23306,7175464.41516,,14331468.85,17908.54990053578,1.0507845690526347,124.24982863999652,7.511349981648978,3.5805442293157164,327.5179865157693,61.01421659569262,8.35851361746414,979.3714397759668,1284.603408430074,375.66721468349937,114.85477553934409,11.050834845826275,525.9268942193441,406.5078255798169,577.8200661307162
E10000015,2020,1198052,16.981733681008837,37.64369159268546,11299.0,9.431143222497855,73.0,0.06093224668044459,6.11681687634825,1.696834207,Hertfordshire,210.0,3579628.0,21554635.0,1169.0,132084.0,9344.0,3647.0,429057.0,74253.0,10288.0,1298706.0,1587701.0,462449.0,137904.0,11636.0,556186.0,502228.0,707452.0,27171687.656,,,,,28353712.00002,,,48540612.14874,65320778.66192,13981822.36102,,152456.5664,6280547.74857,,14572901.75,17991.40187571157,0.9757506351978045,110.24897082931291,7.799327575096908,3.0441082690901564,358.1288625201577,61.97811113374044,8.587273340389231,1084.0147172242941,1325.235465572446,386.0007745907523,115.10685679753468,9.712433183200728,464.24195276999666,419.2038409017305,590.5019147749847
E10000015,2021,1200899,17.118342175320322,37.71208069954259,11237.0,9.357156596849526,158.75,0.13219263235292894,6.27448791328091,1.717109084,Hertfordshire,205.0,3592345.0,21313886.0,602.0,126594.0,9288.0,3743.0,414695.0,73149.0,9542.0,1332369.0,1584189.0,461015.0,138937.0,10232.0,558548.0,498636.0,698025.0,25537034.468,,,,,25485341.50004,,,50331079.54962,66788523.16244,14079565.85991,,134385.76664,6238530.19834,,14490365.075,17748.2752504582,0.5012911160722092,105.4160258273177,7.734205790828371,3.116831640296145,345.32046408565583,60.911866859744244,7.945714002593057,1109.4763173256035,1319.1692223908922,383.8915679003813,115.69415912578826,8.520283554237285,465.10822308953544,415.2189318169138,581.2520453426974
E10000015,2022,1206101,17.34000718016153,37.50216607066904,15092.0,12.513048243886706,556.0,0.46098958544931146,6.46573450782051,1.759310842,Hertfordshire,200.0,3604509.0,21765151.0,547.0,134151.0,9330.0,3864.0,419587.0,72519.0,9210.0,1351624.0,1635789.0,470190.0,145021.0,10014.0,652434.0,498612.0,700478.0,26406948.304,,,,,24219235.83342,,,51665608.33275,70519852.66439,14461612.95995,,132232.23286,7072667.19762,,14638329.6,18045.87758404976,0.4535275238143406,111.22700337699746,7.735670561586468,3.2037117952808267,347.88711724805796,60.12680530071694,7.636176406453522,1120.6557328117628,1356.2620377563737,389.84297334966146,120.23951559612338,8.302787245844254,540.9447467500648,413.4081639928994,580.7788899934583
E10000015,2023,1220700,17.41771114934054,37.73425083968215,19571.0,16.032604243466864,1957.5,1.6035881051855492,6.6714457475153,1.820908189,Hertfordshire,204.0,3627408.0,22149192.0,453.0,130529.0,9759.0,3502.0,423064.0,70619.0,8738.0,1368289.0,1717728.0,485113.0,148710.0,9716.0,650391.0,502794.0,709671.0,25845268.036,,,,,23216359.00008,,,52599619.00006,75878036.1648,14984752.12674,,129132.09995,6945760.12254,,14922284.075,18144.664536741213,0.37109855001228803,106.92963053985419,7.994593266158761,2.8688457442451054,346.57491603178505,57.85123289915622,7.158187924961088,1120.905218317359,1407.1663799459327,397.40558695830265,121.82354386827231,7.959367575980994,532.8016711722781,411.88989923814205,581.363971491767
