drug,model,term,irr_10pct,ci_low,ci_high,lower90,upper90,se_log_irr_10pct,p,n_obs,n_dropped_zero_exposure,n_areas,years,p_first_minus_last,corr_first_last,q_fdr,max_compatible_paf_pct,max_compatible_prevented_fraction_pct,max_compatible_paf_nc_shifted_pct
conventional_dmards,"lag, same year and lead (t-1, t, t+1)",exposure_lag1,0.9966123882134409,0.9563232947827317,1.0385988271530633,0.9626867253594945,1.0317336119593792,0.021054023420856088,0.8719562998552906,1489,0,149,2014-2023,0.11200898900724669,0.07445513728906691,,31.733611959379154,27.173829142298068,64.01749533199514
conventional_dmards,"lag, same year and lead (t-1, t, t+1)",exposure,1.058728993644434,1.002058175988383,1.1186047964508108,1.0109570397725793,1.108758372398802,0.028067890422320392,0.04202695573676878,1489,0,149,2014-2023,0.11200898900724669,0.07445513728906691,,,0.0,56.67066711024078
conventional_dmards,"lag, same year and lead (t-1, t, t+1)",exposure_lag-1,0.9496579778769527,0.9068963713060478,0.99443586222157,0.9136365934162431,0.9870995551668642,0.023506993491817667,0.02799457783246405,1489,0,149,2014-2023,0.11200898900724669,0.07445513728906691,,0.0,46.34139725544388,51.114202154599106
conventional_dmards,prior 3 years (t-3..t-1),exposure_prior3,1.0060084581686022,0.984092554871144,1.0284124322424992,0.9875822793036215,1.0247784302290255,0.011237656065971914,0.5939837671279868,1638,0,149,2014-2024,,,,24.77843022902546,11.04605272145364,64.10372681698412
conventional_dmards,+ area trends (t-1),exposure_lag1,1.033586315936841,0.99772474403354,1.0707368729505808,1.003403146577098,1.064677419177105,0.018016562769168812,0.0667179664588043,1638,0,149,2014-2024,,,,64.67741917710484,0.0,85.87929850636581
conventional_dmards,population covariate (t-1),exposure_lag1,1.0051155463222101,0.9846483302705226,1.026008200492288,0.9879093719736817,1.022621396373906,0.01049654746528871,0.6268871726143479,1638,0,149,2014-2024,,,,22.6213963739059,10.786475407631313,64.54460870693806
conventional_dmards,+ LTBI programme (t-1),exposure_lag1,1.0053067305658738,0.9847518202686395,1.02629068737882,0.9880267168830386,1.0228889616561705,0.010539963348967793,0.615558214441712,1638,0,149,2014-2024,,,,22.88896165617047,10.692982096858557,59.874055479647915
conventional_dmards,+ asylum support (t-1),exposure_lag1,1.0041037797161627,0.9861247742816402,1.0224105779866883,0.9889923940551889,1.0194460609613367,0.00921824930609701,0.656848128538684,1374,0,148,2015-2024,,,,19.446060961336702,9.916082642376471,51.05804470508474
conventional_dmards,exclude COVID years (t-1),exposure_lag1,1.0042421631690663,0.9834165400680469,1.025508806488757,0.9867341521185641,1.0220608257261434,0.01069168134657973,0.6921543804320187,1191,0,149,2014-2024,,,,22.06082572614341,11.712134001170675,64.68153467481302
conventional_dmards,outcome years 2018-2024 (t-1),exposure_lag1,1.0113750848089305,0.9889085973566849,1.0343519764176279,0.9924853317197075,1.0306243623771232,0.011461349942046381,0.3237058345856698,1043,0,149,2018-2024,,,,30.624362377123155,6.989435395644426,59.46850085725347
conventional_dmards,EPD exposure only (t-1),exposure_lag1,1.0043973961110761,0.9865066618785887,1.0226125867144593,0.9893603164833124,1.0196630211534523,0.00916987567015614,0.6322966783854622,1489,0,149,2015-2024,,,,19.66302115345229,9.616516586549047,53.46077631708464
transplant_immunosuppressants,primary (t-1),exposure_lag1,0.9995882274163221,0.9937504879986239,1.0054602603532898,0.9946863915705104,1.0045142196141892,0.002988400286035786,0.8903837200593177,1638,0,149,2014-2024,,,0.9517364486816106,4.514219614189182,5.045509795675822,43.96133450597036
transplant_immunosuppressants,FE only (t-1),exposure_lag1,0.9972352571768967,0.9906798209497268,1.0038340714392497,0.9917304594861183,1.0027706103450496,0.003364955053131818,0.41064087640682745,1639,0,149,2014-2024,,,,2.770610345049549,7.637919653701173,59.32436141133185
transplant_immunosuppressants,"distributed lag (t, t-1, t-2)",exposure,1.0001755556523029,0.9898001410741718,1.0106597287799644,0.9914603302489191,1.0089673904282601,0.005320292949294513,0.9736789978266118,1638,0,149,2014-2024,0.8869552381522091,0.10751213872511732,,8.967390428260105,7.867786746233252,35.70789603867938
transplant_immunosuppressants,"distributed lag (t, t-1, t-2)",exposure_lag1,0.9985213188461679,0.986117282066693,1.01108138182174,0.988100345598462,1.0090521966029786,0.00637765747048667,0.816518656425689,1638,0,149,2014-2024,0.8869552381522091,0.10751213872511732,,9.052196602978615,10.634219082426757,0.0
transplant_immunosuppressants,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0011198618052044,0.9921670844442925,1.0101534241707095,0.9936005052619425,1.0086961232338052,0.004583157759465248,0.8070711783503345,1638,0,149,2014-2024,0.8869552381522091,0.10751213872511732,,8.696123233805189,6.014591285242681,53.194745926411
transplant_immunosuppressants,"lag and lead (t-1, t+1)",exposure_lag1,0.9995805758414632,0.9900885848973625,1.009163566614728,0.9916079820063167,1.0076172698589536,0.004868034704496674,0.9313257932629573,1489,0,149,2014-2023,0.9320803608897139,-0.7068633471208204,,7.617269858953607,7.742284117426736,15.281202963111074
transplant_immunosuppressants,"lag and lead (t-1, t+1)",exposure_lag-1,1.0002762161180714,0.9925428300658055,1.0080698567588768,0.9937816512605039,1.0068132242755687,0.0039598426584763,0.9443968751559754,1489,0,149,2014-2023,0.9320803608897139,-0.7068633471208204,,6.813224275568736,5.854307483866849,45.86377526173564
transplant_immunosuppressants,"lag, same year and lead (t-1, t, t+1)",exposure_lag1,1.0001189384057916,0.988686690400363,1.0116833782326806,0.9905151633013713,1.0098158291935184,0.005865675112183316,0.9838233500482396,1489,0,149,2014-2023,0.9307536621667343,-0.21202215465029423,,9.815829193518413,8.663150975634094,41.413885202949494
transplant_immunosuppressants,"lag, same year and lead (t-1, t, t+1)",exposure,0.9989687759749257,0.9894200265615966,1.0086096789862322,0.9909484684484825,1.0070539963952951,0.004900297537521128,0.8332386776900264,1489,0,149,2014-2023,0.9307536621667343,-0.21202215465029423,,7.05399639529513,8.300233314230363,0.0
transplant_immunosuppressants,"lag, same year and lead (t-1, t, t+1)",exposure_lag-1,1.0008291686053687,0.9918910186314718,1.0098478622311946,0.993322104766807,1.0083929673209717,0.004576970927480731,0.856300128596567,1489,0,149,2014-2023,0.9307536621667343,-0.21202215465029423,,8.392967320971715,6.259867818534831,73.78851885382025
transplant_immunosuppressants,prior 3 years (t-3..t-1),exposure_prior3,1.0000343800953162,0.9929253110275925,1.0071943481203414,0.9940644222190282,1.006040191178145,0.003639904464743741,0.9924639593893864,1638,0,149,2014-2024,,,,6.040191178144911,5.603006945640038,44.64641836878287
transplant_immunosuppressants,+ area trends (t-1),exposure_lag1,1.0006746950149195,0.993378238842853,1.0080247443407204,0.9945472853154619,1.006839855709407,0.003733800915500917,0.8566514785764459,1638,0,149,2014-2024,,,,6.839855709406923,5.170767486498487,26.889963601373502
transplant_immunosuppressants,population covariate (t-1),exposure_lag1,0.9993158018218343,0.9936220863874261,1.0050421437405892,0.9945349550807125,1.0041196306566926,0.0029152586992991785,0.8143827102839374,1638,0,149,2014-2024,,,,4.1196306566926255,5.1818542565167975,45.284347758303774
transplant_immunosuppressants,+ LTBI programme (t-1),exposure_lag1,0.9990326056343857,0.9931408302519823,1.0049593337808878,0.9940853739567681,1.0040044580356484,0.0030178262174904652,0.7484262638779511,1638,0,149,2014-2024,,,,4.004458035648414,5.5843335941323895,40.30673567438178
transplant_immunosuppressants,+ asylum support (t-1),exposure_lag1,1.0002630495726783,0.9944830109522163,1.0060766823783465,0.9954096880915424,1.0051400747954358,0.0029567749079282475,0.9291189983797221,1374,0,148,2015-2024,,,,5.140074795435763,4.388850004076147,36.3084444830479
transplant_immunosuppressants,exclude COVID years (t-1),exposure_lag1,1.0011898685214784,0.994555131600746,1.0078688661700563,0.9956184556985672,1.0067924585897143,0.0033922994449560374,0.7259280480835393,1191,0,149,2014-2024,,,,6.792458589714329,4.197623565311283,48.77646508833085
transplant_immunosuppressants,outcome years 2018-2024 (t-1),exposure_lag1,1.0016597732064636,0.9943594091826004,1.009013734867548,0.9955290833945194,1.0078282171716486,0.0037321205765330993,0.6567838378435527,1043,0,149,2018-2024,,,,7.828217171648603,4.279580146084457,36.0343587315399
transplant_immunosuppressants,EPD exposure only (t-1),exposure_lag1,1.0006119164484777,0.9948329395156352,1.0064244634141004,0.9957594476454321,1.0054880319801989,0.002955196534979155,0.8360089015194907,1489,0,149,2015-2024,,,,5.488031980198866,4.068044785626135,38.81594288785069
proton_pump_inhibitors,primary (t-1),exposure_lag1,0.9987272654070574,0.958376804772246,1.0407765982029373,0.9647499958183551,1.033901171278431,0.02104117792787648,0.9517364486816106,1638,0,149,2014-2024,,,0.9517364486816106,33.90117127843092,26.062848866387505,74.50230712480226
proton_pump_inhibitors,FE only (t-1),exposure_lag1,0.9727938619394518,0.9262337788975623,1.0216944354517363,0.9335634982459765,1.013672770631113,0.02502323352668259,0.2703318397787392,1639,0,149,2014-2024,,,,13.672770631113037,39.91702604529021,70.8413762339583
proton_pump_inhibitors,"distributed lag (t, t-1, t-2)",exposure,0.9608653056990705,0.8879192209861873,1.0398042005113106,0.8992577686438697,1.0266935331440041,0.04028238116709651,0.32167102624899924,1638,0,149,2014-2024,0.970494859654156,0.11324673054934653,,26.69353314400411,50.18487175098034,53.90383195412268
proton_pump_inhibitors,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0726515451264198,0.9754818558070615,1.1795005006117376,0.9904828661072447,1.1616367901284992,0.04844764369254609,0.14772402059458214,1638,0,149,2014-2024,0.970494859654156,0.11324673054934653,,,8.69008670558798,
proton_pump_inhibitors,"distributed lag (t, t-1, t-2)",exposure_lag2,0.9628069874117768,0.8872988216743772,1.0447408160191753,0.8990220271179579,1.0311174443418982,0.04166895276471258,0.36303050711309226,1638,0,149,2014-2024,0.970494859654156,0.11324673054934653,,31.1174443418982,50.24330349938797,76.60518346439586
proton_pump_inhibitors,"lag and lead (t-1, t+1)",exposure_lag1,1.0451590736504388,0.9934674638311051,1.0995402758550232,1.0015992318429388,1.0906133456431573,0.025879114278083058,0.08786911053177347,1489,0,149,2014-2023,0.10313789643309028,-0.6445375045366222,,90.61334564315719,0.0,98.90854658257777
proton_pump_inhibitors,"lag and lead (t-1, t+1)",exposure_lag-1,0.9570116419884204,0.8959662285055123,1.0222162998588262,0.9055077672621321,1.0114449770768672,0.03362899775593616,0.1913478484268364,1489,0,149,2014-2023,0.10313789643309028,-0.6445375045366222,,11.444977076867193,48.58406498177348,50.67517657634464
proton_pump_inhibitors,"lag, same year and lead (t-1, t, t+1)",exposure_lag1,1.0028988463413493,0.9333043650041022,1.0776828371400455,0.9441543979104075,1.0652983222011663,0.03669314400657061,0.9371216204383341,1489,0,149,2014-2023,0.10400203851339088,0.013099340756103582,,65.2983222011662,35.833928799279164,98.63247589387339
proton_pump_inhibitors,"lag, same year and lead (t-1, t, t+1)",exposure,1.0863900469075995,0.9911324212505989,1.1908028722647166,1.005858302946738,1.1733693807192165,0.046820125488901985,0.07676737569954957,1489,0,149,2014-2023,0.10400203851339088,0.013099340756103582,,,0.0,
proton_pump_inhibitors,"lag, same year and lead (t-1, t, t+1)",exposure_lag-1,0.9182186468516871,0.8482208591834819,0.9939928667136957,0.859099550527593,0.9814060348516772,0.04045637276905338,0.03495045119353459,1489,0,149,2014-2023,0.10400203851339088,0.013099340756103582,,0.0,58.48907703617458,45.051449889923006
proton_pump_inhibitors,prior 3 years (t-3..t-1),exposure_prior3,0.998701615144087,0.9556211321054362,1.0437242151540884,0.9624173079671461,1.0363538849879623,0.022497204755938586,0.953947237852551,1638,0,149,2014-2024,,,,36.353884987962296,27.316438919424087,76.12338314975182
proton_pump_inhibitors,+ area trends (t-1),exposure_lag1,0.986330425002928,0.9281567690628407,1.0481502044840338,0.9372692507140227,1.0379596967950564,0.031015696122895405,0.6572082177732965,1638,0,149,2014-2024,,,,37.95969679505637,38.54879889708888,58.629522080816784
proton_pump_inhibitors,population covariate (t-1),exposure_lag1,1.0008806922899005,0.9582087560132574,1.0454529390512586,0.9649419761302866,1.038157925532563,0.022229551684693073,0.9684115087891509,1638,0,149,2014-2024,,,,38.15792553256299,25.957749762082116,80.7180707648542
proton_pump_inhibitors,+ LTBI programme (t-1),exposure_lag1,1.0026468151085826,0.9607444446968502,1.0463767356620972,0.9673586965689216,1.0392222031114593,0.02178068891465613,0.9034053869113521,1638,0,149,2014-2024,,,,39.222203111459265,24.608702256939967,76.79786589237996
proton_pump_inhibitors,+ asylum support (t-1),exposure_lag1,0.9889807499590559,0.9470967895063065,1.0327169668682146,0.9537065034755742,1.0255596666533866,0.022078353507815604,0.6157606127277722,1374,0,148,2015-2024,,,,25.559666653386582,31.644261449924688,57.36122708113339
proton_pump_inhibitors,exclude COVID years (t-1),exposure_lag1,0.994699003109665,0.9538407297692522,1.0373074622497171,0.9602922095627415,1.0303385750030039,0.02139973182279228,0.8038464932504862,1191,0,149,2014-2024,,,,30.338575003003825,28.422030233948092,73.30447235318431
proton_pump_inhibitors,outcome years 2018-2024 (t-1),exposure_lag1,0.9452471670707571,0.8943578407878068,0.9990321167959432,0.9023477431756515,0.9901861157327282,0.028234939452033418,0.04611969128857528,1043,0,149,2018-2024,,,,0.0,49.406092494623536,17.898506867575197
proton_pump_inhibitors,EPD exposure only (t-1),exposure_lag1,0.9857439121546857,0.9444457553110228,1.0288479300010507,0.9509643341945275,1.021795482133463,0.021835889678504992,0.5108128251460051,1489,0,149,2015-2024,,,,21.79548213346292,32.901967150249675,55.66391985849379
proton_pump_inhibitors,ADQ measure (t-1),exposure_lag1,0.9883697261546173,0.9250406504996687,1.0560343645993133,0.9349378423127902,1.044855252796723,0.03378528646377118,0.7291486348242882,1489,0,149,2015-2024,,,,44.85525279672294,39.4167619028109,90.324425470285
statins,primary (t-1),exposure_lag1,0.9882548877315686,0.9490947519508217,1.0290307907802458,0.9552820520057285,1.022365824915005,0.020628576729297503,0.5668266607286998,1638,0,149,2014-2024,,,0.9253105221793411,22.36582491500492,30.900070526180766,62.513969529963646
statins,FE only (t-1),exposure_lag1,0.970715151510427,0.9284487105202498,1.0149057182102248,0.9351152721343594,1.0076703198539156,0.022713229210493315,0.19067468879831262,1639,0,149,2014-2024,,,,7.670319853915634,39.35156924813139,64.50040226557525
statins,"distributed lag (t, t-1, t-2)",exposure,0.9965475127296175,0.9142114181885538,1.0862989953629756,0.926969854884591,1.0713476170713558,0.04399742984191919,0.9373460351114593,1638,0,149,2014-2024,0.5175483391365072,0.24074037753093305,,71.34761707135577,42.20660224650376,99.74137611330671
statins,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0262080318762543,0.9230761844114466,1.1408624146865993,0.9389231777352777,1.1216071236280098,0.054037752144705124,0.632117643300116,1638,0,149,2014-2024,0.5175483391365072,0.24074037753093305,,,37.91782169898122,92.06867850700743
statins,"distributed lag (t, t-1, t-2)",exposure_lag2,0.9638727287491967,0.8922273929508664,1.041271142946834,0.903371895455173,1.0284254379624143,0.03940726369923403,0.35043961311554916,1638,0,149,2014-2024,0.5175483391365072,0.24074037753093305,,28.425437962414236,49.14257032000112,73.79441924158574
statins,"lag and lead (t-1, t+1)",exposure_lag1,0.9985130202462292,0.9451615925434518,1.0548759698521186,0.9535395832268282,1.0456076172813409,0.02801596035763201,0.9576397490594101,1489,0,149,2014-2023,0.7960235699270721,-0.629517180617608,,45.60761728134084,31.722166163931238,53.56050482282111
statins,"lag and lead (t-1, t+1)",exposure_lag-1,0.9839113246497352,0.9186221496566838,1.0538407931223923,0.9288150836480525,1.0422758112106876,0.03503106722346958,0.6433619303050113,1489,0,149,2014-2023,0.7960235699270721,-0.629517180617608,,42.275811210687536,41.583638248591285,82.70182442343335
statins,"lag, same year and lead (t-1, t, t+1)",exposure_lag1,0.967627089144185,0.8962783368559559,1.0446555998777032,0.9073797426500345,1.0318746822704516,0.0390794724582518,0.3997365549046694,1489,0,149,2014-2023,0.811456560883768,-0.11299121710837932,,31.874682270451622,48.08438044067541,64.16297986144464
statins,"lag, same year and lead (t-1, t, t+1)",exposure,1.0632079640155903,0.9789230385059492,1.1547497916398326,0.9920037598102964,1.1395230749552283,0.04213927086385352,0.1458133249970639,1489,0,149,2014-2023,0.811456560883768,-0.11299121710837932,,,7.404183863861896,85.99009285979845
statins,"lag, same year and lead (t-1, t, t+1)",exposure_lag-1,0.9544796359214799,0.8863398479931307,1.0278578554846396,0.896953385617513,1.0156953415829917,0.03778870176221801,0.2176201805409408,1489,0,149,2014-2023,0.811456560883768,-0.11299121710837932,,15.69534158299167,50.750225358780874,81.56446126619424
statins,prior 3 years (t-3..t-1),exposure_prior3,0.9874703507846762,0.945547334337875,1.031252120616076,0.9521629067344687,1.024087040969701,0.022133939897486837,0.5689087240946068,1638,0,149,2014-2024,,,,24.087040969700915,32.357977425605036,63.38580588322279
statins,+ area trends (t-1),exposure_lag1,0.9846876928610803,0.9313028439414339,1.0411327086348428,0.9396831367573238,1.0318476670955543,0.028438782936699783,0.5874084463813731,1638,0,149,2014-2024,,,,31.847667095554282,37.623530065812716,52.39577803496771
statins,population covariate (t-1),exposure_lag1,0.9881056246044986,0.9487321556324623,1.0291131375474156,0.954952554393374,1.022409669342438,0.020746469024320913,0.5641033534664281,1638,0,149,2014-2024,,,,22.409669342438026,31.05704165849035,64.32420175020319
statins,+ LTBI programme (t-1),exposure_lag1,0.9914845162400775,0.9514358829778281,1.033218909998509,0.9577614275100157,1.0263950057996467,0.021036240855414983,0.6843502627158555,1638,0,149,2014-2024,,,,26.395005799646686,29.695582394120624,63.50686936691513
statins,+ asylum support (t-1),exposure_lag1,1.000932323808986,0.9590202991346839,1.0446760279731635,0.9656358376201963,1.0375189878150632,0.02182394224842044,0.9659404190959832,1374,0,148,2015-2024,,,,37.51898781506321,25.575392851158753,69.69139460793576
statins,exclude COVID years (t-1),exposure_lag1,0.9795710321879019,0.9409734978282112,1.0197517882452132,0.9470725058609909,1.0131847362935837,0.020510090932906243,0.31424265540933616,1191,0,149,2014-2024,,,,13.184736293583732,34.60953469289091,55.43530560399974
statins,outcome years 2018-2024 (t-1),exposure_lag1,0.992311349795272,0.931532601849332,1.0570556660901271,0.9410433932335838,1.046372379863358,0.03224782142396184,0.8108379434069514,1043,0,149,2018-2024,,,,46.37237986335792,37.089749187368994,75.65725894087987
statins,EPD exposure only (t-1),exposure_lag1,0.9955399705501411,0.9550553518189417,1.0377407247395514,0.9614489880835956,1.0308397483869443,0.021181619953032475,0.8328621011305558,1489,0,149,2015-2024,,,,30.839748386944226,27.824417435265197,65.00796740258625
statins,ADQ measure (t-1),exposure_lag1,0.9864045017389251,0.948200044893742,1.0261482756624987,0.9542387247009392,1.0196545328379498,0.020153580526592094,0.49699695628570506,1489,0,149,2015-2024,,,,19.654532837949805,31.394672696964008,64.02704079720183
metformin,primary (t-1),exposure_lag1,0.9609580698285003,0.9286010149061193,0.9944426046765367,0.9337268010295203,0.9889835131114778,0.017475310040207553,0.022672946719182782,1639,0,149,2014-2024,,,0.2947483073493761,0.0,39.85801643369227,27.820739609645017
