drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
oral_hydrocortisone,primary (t-1),exposure_lag1,1.0020605064242085,0.989877018004335,1.0143939502298291,1.0124016001920821,0.0062413032145163866,0.7415505192676333,3233,294,2014-2024,0.8875031316217623,12.40160019208213
oral_hydrocortisone,FE only (t-1),exposure_lag1,0.9964395352186982,0.9815024966980481,1.0116038937110428,1.0091512911997356,0.007706073055990671,0.6434660836708237,3234,294,2014-2024,,9.15129119973556
oral_hydrocortisone,"distributed lag (t, t-1, t-2)",exposure,1.0088084495344738,0.9913031943035896,1.0266228271029632,1.0237387295576834,0.00893098217920289,0.32611877132521894,3233,294,2014-2024,,23.738729557683392
oral_hydrocortisone,"distributed lag (t, t-1, t-2)",exposure_lag1,0.9931437303727185,0.9731227609794284,1.0135766099910284,1.0102646256996288,0.010390385417886403,0.5078819940388555,3233,294,2014-2024,,10.264625699628818
oral_hydrocortisone,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0022467495088345,0.9832441345879549,1.0216166174456525,1.0184785426083125,0.009766358347243355,0.818253534836352,3233,294,2014-2024,,18.47854260831248
oral_hydrocortisone,"lag and lead (t-1, t+1)",exposure_lag1,0.9994360458591437,0.9830991342122598,1.0160444404855868,1.0133567390385312,0.008408776560164349,0.9465130461758037,2939,294,2014-2023,,13.356739038531174
oral_hydrocortisone,"lag and lead (t-1, t+1)",exposure_lag-1,1.005873939722925,0.9897086592052721,1.0223032537940724,1.0196448437288723,0.008266029690683324,0.4786142827695765,2939,294,2014-2023,,19.644843728872303
oral_hydrocortisone,prior 3 years (t-3..t-1),exposure_prior3,0.9997852808057334,0.984014727449954,1.0158085848025442,1.0132161980643835,0.008112077995647277,0.9788809332913305,3233,294,2014-2024,,13.216198064383445
oral_hydrocortisone,+ area trends (t-1),exposure_lag1,1.0016903200885872,0.9843642024110363,1.0193214004547861,1.0164670456655585,0.008902152608654243,0.8495305977007487,3233,294,2014-2024,,16.46704566555844
oral_hydrocortisone,population covariate (t-1),exposure_lag1,1.0034470161977092,0.9912905050005196,1.015752606563661,1.0137647927842584,0.0062187414156562116,0.5800294620419021,3233,294,2014-2024,,13.764792784258336
oral_hydrocortisone,+ LTBI programme (t-1),exposure_lag1,1.0019716033656867,0.9901513561055877,1.0139329585931975,1.0120010118303588,0.006054655556510527,0.7449436750247684,3233,294,2014-2024,,12.001011830358832
