scenario,seed,log_irr_10pct,p,rejected_two_sided,detected_correct_direction
IRR 1.05 per 10%,5062,0.06535404882442382,4.0381296221539646e-05,True,True
IRR 1.05 per 10%,5063,0.03314737559029542,0.03693614565251059,True,True
IRR 1.05 per 10%,5064,0.029902695655446735,0.1361796305448625,False,False
IRR 1.05 per 10%,5065,0.06675676772230449,0.00010026953757125681,True,True
IRR 1.05 per 10%,5066,0.0650096948248709,0.0003239096684979534,True,True
IRR 1.05 per 10%,5067,0.03962268339547364,0.006853688932700931,True,True
IRR 1.05 per 10%,5068,0.06459302216200825,0.00027117414063469123,True,True
IRR 1.05 per 10%,5069,0.07552757842681085,4.2707772986911505e-07,True,True
IRR 1.05 per 10%,5070,0.06377119610012293,0.0008589101354867151,True,True
IRR 1.05 per 10%,5071,0.03357986380172685,0.06406061745459697,False,False
IRR 1.05 per 10%,5072,0.0483736833075213,0.006929385438878561,True,True
IRR 1.05 per 10%,5073,0.029584846334726675,0.04179876131654542,True,True
IRR 1.05 per 10%,5074,0.02246101263437753,0.1959472411922385,False,False
IRR 1.05 per 10%,5075,0.046376292541379045,0.006584540980164723,True,True
IRR 1.05 per 10%,5076,0.053245469753416395,2.3461437128360027e-05,True,True
IRR 1.05 per 10%,5077,0.03298479807367844,0.0677905092477643,False,False
IRR 1.05 per 10%,5078,0.043874092412370634,0.002990142275319551,True,True
IRR 1.05 per 10%,5079,0.05060521037313325,0.012791666485137635,True,True
IRR 1.05 per 10%,5080,0.0654023166931239,6.92514415748066e-05,True,True
IRR 1.05 per 10%,5081,0.040269798835934074,0.0592321477699404,False,False
IRR 1.05 per 10%,5082,0.007752713598807432,0.6865416795810534,False,False
IRR 1.05 per 10%,5083,0.05330504673346917,0.0005280371490322273,True,True
IRR 1.05 per 10%,5084,0.034810568875713564,0.05896194953933522,False,False
IRR 1.05 per 10%,5085,0.059950377080423584,0.012366664976944209,True,True
IRR 1.05 per 10%,5086,0.060824416513841906,0.00011913948987139882,True,True
IRR 1.05 per 10%,5087,0.08242839364805928,2.4230891831077347e-07,True,True
IRR 1.05 per 10%,5088,0.059278707454598,6.060227020760341e-05,True,True
IRR 1.05 per 10%,5089,0.07850079993616794,7.307003160006283e-07,True,True
IRR 1.05 per 10%,5090,0.0473969308210326,0.0031418405825872145,True,True
IRR 1.05 per 10%,5091,0.04400833742160043,0.0021579479940333785,True,True
