scenario,seed,irr_10pct,p,detected
RR 25,2072,1.0314438196225626,0.10039841696640087,False
RR 25,2073,1.0228567650310256,0.212884601631406,False
RR 25,2074,0.9907120273509071,0.6313762997418894,False
RR 25,2075,0.9917572699391879,0.6449815201773308,False
RR 25,2076,1.0342849712618032,0.05585840549980934,False
RR 25,2077,0.9908491030855545,0.6508435631482463,False
RR 25,2078,1.0106600694414065,0.5728026421779695,False
RR 25,2079,1.001854924447832,0.9144094775392826,False
RR 25,2080,0.9893402503764154,0.5200149145545103,False
RR 25,2081,1.0125877610243927,0.5632171725677575,False
RR 25,2082,1.0336077141628188,0.2087220930396555,False
RR 25,2083,1.0120778312360568,0.5463961625291676,False
RR 25,2084,1.031207253520849,0.08367639973345245,False
RR 25,2085,1.0192279073106805,0.3667973385850315,False
RR 25,2086,0.9923558113823934,0.67213233935287,False
RR 25,2087,1.0572069378068056,0.0052116449390773876,True
RR 25,2088,1.0325436901221436,0.08463280723650267,False
RR 25,2089,1.0346343663005986,0.06141252018023875,False
RR 25,2090,0.9880768050929216,0.5092387592397076,False
RR 25,2091,1.0151013218728429,0.45530179622386624,False
RR 25,2092,0.9980624936302279,0.9142446828628346,False
RR 25,2093,1.0068541802112367,0.719922745996263,False
RR 25,2094,1.0298292709954628,0.15478744207231482,False
RR 25,2095,1.0134292686256727,0.5812429116177861,False
RR 25,2096,1.008285095431551,0.660299199692935,False
RR 25,2097,1.0353806438853677,0.06817496506117948,False
RR 25,2098,0.9878217705768839,0.4999288877847964,False
RR 25,2099,0.9941519797155423,0.7781084678234172,False
RR 25,2100,1.037878773586931,0.0667057359368156,False
RR 25,2101,1.0654863439133753,0.0021549292834095023,True
RR 25,2102,1.0270347056623834,0.17829626530929898,False
RR 25,2103,0.9779987430337453,0.1980958628771341,False
RR 25,2104,1.028433170759534,0.15216701462319196,False
RR 25,2105,1.0077076086310808,0.6667683962656488,False
RR 25,2106,1.0479449748556393,0.002076560909341452,True
RR 25,2107,1.0270144217528747,0.16189262765676848,False
RR 25,2108,1.0163040711276632,0.36059743951090106,False
RR 25,2109,1.0158802805436478,0.42853889274390466,False
RR 25,2110,1.0174761961488925,0.36041340229883934,False
RR 25,2111,1.0007905568159472,0.965898558890332,False
RR 25,2112,0.9973543379696077,0.8662492324922452,False
RR 25,2113,0.9992365125224474,0.9696629622058196,False
RR 25,2114,1.0204904103726173,0.2371428959000652,False
RR 25,2115,1.0255953826344273,0.14315602118274767,False
RR 25,2116,1.002745820182904,0.8722115951089077,False
RR 25,2117,1.0102053012981773,0.6453704624956224,False
RR 25,2118,1.0275293118352609,0.08203772503443554,False
RR 25,2119,0.9977852054608849,0.8926047902703372,False
RR 25,2120,0.9995014398659248,0.9773047158567043,False
RR 25,2121,1.0548059923596742,0.0007418898389234513,True
RR 25,2122,1.0166159931384524,0.35556856513315716,False
RR 25,2123,0.9985198142250784,0.9418118040469068,False
RR 25,2124,1.037195483107885,0.07358818067875536,False
RR 25,2125,1.0190150011202648,0.3347988658037938,False
RR 25,2126,1.0134550412746595,0.4122598848622471,False
RR 25,2127,1.010148927935411,0.5346206968142789,False
RR 25,2128,0.9982861106671639,0.9165768388935686,False
RR 25,2129,0.9874260667494418,0.4978191345904067,False
RR 25,2130,1.0088669974424567,0.6034412963449932,False
RR 25,2131,1.0239090350025633,0.18449013158236183,False
RR 25,2132,1.0154259646179526,0.46915085989496885,False
RR 25,2133,0.983601043382279,0.37051287416675793,False
RR 25,2134,1.036924260711769,0.012687962392003344,True
RR 25,2135,1.0030122565359587,0.8697258047148226,False
RR 25,2136,0.9891091459486165,0.5179973840229745,False
RR 25,2137,1.0129208144866302,0.44977958047728295,False
RR 25,2138,1.0082896343651704,0.648185187891221,False
RR 25,2139,1.028768719750828,0.14306836708219386,False
RR 25,2140,1.024244578606297,0.1551105858845347,False
RR 25,2141,1.0537645273126777,0.004658946393411274,True
RR 25,2142,1.001203467425699,0.9476163034220648,False
RR 25,2143,1.01325347760189,0.5066330379459154,False
RR 25,2144,0.9942711027606717,0.748523216305381,False
RR 25,2145,0.9942445733946359,0.715044356338583,False
RR 25,2146,1.0198210785160657,0.29035996246783957,False
RR 25,2147,1.0241032987614567,0.15310556901243214,False
RR 25,2148,1.0066318733507538,0.7270126756300546,False
RR 25,2149,0.986425024732116,0.47091476961175616,False
RR 25,2150,1.029653181612803,0.0850601640007851,False
RR 25,2151,1.0468293715368928,0.023794837609097116,True
RR 25,2152,0.9948315749483251,0.7626529475447659,False
RR 25,2153,1.013011717325364,0.5918151103516296,False
RR 25,2154,1.0150553377795455,0.3253373821404224,False
RR 25,2155,1.0080217225645791,0.6461689292587504,False
RR 25,2156,1.0116162623440403,0.5575968782320078,False
RR 25,2157,1.0084788318809796,0.6396326092652327,False
RR 25,2158,1.0404127852619298,0.03701126017501352,True
RR 25,2159,1.017802284211084,0.37925392493689636,False
RR 25,2160,1.023595252465284,0.2960814408019953,False
RR 25,2161,1.0509358728653124,0.0017183387815834833,True
RR 25,2162,1.0168407236205916,0.3540100189600497,False
RR 25,2163,1.0261760615138862,0.17422000342949673,False
RR 25,2164,0.9884504616468286,0.5157995237137514,False
RR 25,2165,1.021867581766008,0.25505782558264956,False
RR 25,2166,1.0189695507737055,0.3013907048406016,False
RR 25,2167,1.0264388972977712,0.1689634825320886,False
RR 25,2168,1.0175897107354965,0.43957383222994506,False
RR 25,2169,1.013639712787378,0.4452698179599991,False
RR 25,2170,0.9916130985904905,0.6784054953556948,False
