drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
vitamin_d,concurrent: t-2..t,FE + time-varying,True,1.0030269138716703,0.9811114965954482,1.025431863189926,0.7885855530394283,1297,
levothyroxine,concurrent: t-2..t,FE only,True,0.9482145950122598,0.9150339663205835,0.9825984075866085,0.0034338872799997574,1297,
levothyroxine,concurrent: t-2..t,FE + time-varying,True,0.963278562726883,0.9278285978527188,1.0000829803658011,0.0505049172239449,1297,
antituberculosis,lead (falsification): t+1..t+3,FE only,True,1.0070624200748233,1.0011684860857244,1.0129910519777605,0.018776194911082164,1156,
antituberculosis,lead (falsification): t+1..t+3,FE + time-varying,True,0.9993945769582928,0.993813452906276,1.0050070438600094,0.8321411241112261,1156,
oral_corticosteroids,lead (falsification): t+1..t+3,FE only,True,0.9673330010495436,0.9112152619284579,1.0269067848349793,0.2760516854749212,1156,
oral_corticosteroids,lead (falsification): t+1..t+3,FE + time-varying,True,0.9919298833851542,0.9464369791886648,1.0396095199026958,0.7351519334473996,1156,
inhaled_corticosteroids,lead (falsification): t+1..t+3,FE only,True,0.9198501816399036,0.8630947898443424,0.9803376947919715,0.010136068697088428,1156,
inhaled_corticosteroids,lead (falsification): t+1..t+3,FE + time-varying,True,0.9712131796200444,0.9163071168435524,1.0294092700239557,0.3252260907075589,1156,
immunosuppressants,lead (falsification): t+1..t+3,FE only,True,1.006139440674076,0.9789194843300802,1.0341162784932385,0.661817562892596,1156,
immunosuppressants,lead (falsification): t+1..t+3,FE + time-varying,True,1.0027918275867163,0.9764334980994407,1.0298616868757775,0.8374588833366193,1156,
proton_pump_inhibitors,lead (falsification): t+1..t+3,FE only,True,0.9801728551165515,0.9166969017312763,1.048044150790603,0.5576976398449314,1156,
proton_pump_inhibitors,lead (falsification): t+1..t+3,FE + time-varying,True,1.0400484367462557,0.9852542036146986,1.0978900133689242,0.1550201269287623,1156,
statins,lead (falsification): t+1..t+3,FE only,True,0.9774844291916825,0.9121506847737489,1.0474977712143985,0.518780617462463,1156,
statins,lead (falsification): t+1..t+3,FE + time-varying,True,1.0224486765467287,0.9660415743678895,1.082149385606096,0.4432233408792773,1156,
metformin,lead (falsification): t+1..t+3,FE only,True,0.9561128215986473,0.8997134490312408,1.0160476411791244,0.14795900571901774,1156,
metformin,lead (falsification): t+1..t+3,FE + time-varying,True,1.0103578757240437,0.9599423824034229,1.0634211550090658,0.6931557260459646,1156,
insulins,lead (falsification): t+1..t+3,FE only,True,0.9218086645933015,0.8524744639701312,0.9967820152194711,0.04127158711288238,1156,
insulins,lead (falsification): t+1..t+3,FE + time-varying,True,0.962207458764646,0.9079329450873322,1.0197264001839508,0.19341232557912225,1156,
fluoroquinolones,lead (falsification): t+1..t+3,FE only,True,0.9904990900273114,0.9679793744514495,1.013542719235016,0.4158865837176564,1156,
fluoroquinolones,lead (falsification): t+1..t+3,FE + time-varying,True,0.9899993101898119,0.9710316626157134,1.0093374623193705,0.30851485336045736,1156,
all_antibacterials,lead (falsification): t+1..t+3,FE only,True,1.0068012003396745,0.9598491658733136,1.0560499431003272,0.7808725856879486,1156,
all_antibacterials,lead (falsification): t+1..t+3,FE + time-varying,True,1.0082836751876534,0.9711988401722472,1.046784579633163,0.6661191258142041,1156,
vitamin_d,lead (falsification): t+1..t+3,FE only,True,1.0331473441389118,1.0004543928272063,1.06690863906841,0.046845912943290505,1156,
vitamin_d,lead (falsification): t+1..t+3,FE + time-varying,True,1.0280618953656557,1.0016495835547512,1.055170668520577,0.037149148064143066,1156,
levothyroxine,lead (falsification): t+1..t+3,FE only,True,0.9361681700245053,0.8887938941075031,0.9860675780711717,0.01279038318588514,1156,
levothyroxine,lead (falsification): t+1..t+3,FE + time-varying,True,0.9792045607569955,0.9316333965860806,1.0292048088023926,0.40820004911669794,1156,
