date,items_ocs,items_other,items_prednisolone,items_dexamethasone,items_hydrocortisone,mg_prednisolone_tablets,items_prednisolone_tablets
2015-08-01,1003.5363744236405,8.487707311156358,905.0501420614502,34.21173684253931,55.786788208494585,186941.1851875422,903.632483295163
2015-09-01,1150.066095375119,8.677458291457361,1044.2853974432808,37.73125262139155,59.37198701898948,211232.86667242245,1042.0923139978788
2015-10-01,1246.0071102611564,8.878156443698805,1135.362218930448,41.35294200502125,60.41379288198825,227309.28220196377,1131.7751955912966
2015-11-01,1202.968303777307,8.328973318019942,1097.1383435717369,39.44630955872753,58.054677328822905,217982.0444850739,1092.8871918015316
2015-12-01,1392.755774651444,9.491198072363579,1277.222971049328,41.15954196740677,64.8820635623455,255953.71524756408,1271.7676303656742
2016-01-01,1257.2348433506725,8.424817116537069,1157.220435430288,34.466147482338,57.12344332150929,232231.47378556116,1152.145287978806
2016-02-01,1209.66302286996,8.433860501161949,1111.0304441202572,34.08451665116811,56.11420159737281,222890.8819423396,1105.8739062071513
2016-03-01,1258.2115288901593,8.140854839315875,1154.7208439199717,36.11023480714096,59.23959532373092,231569.56676074318,1149.6710179454392
2016-04-01,1186.7488949074423,7.449940253975138,1082.7553977521113,35.460919791074666,61.08263711028122,220213.0588861437,1078.682257317066
2016-05-01,1115.3911641863738,6.418994406738956,1015.5268764507624,34.431782620763464,59.01351070810895,204907.1720081056,1011.6979074005886
2016-06-01,1143.653549816045,6.001190037069557,1041.070820662195,35.531458191148715,61.050080925631654,209789.81383541625,1037.4353800429938
2016-07-01,1110.2454783348178,5.5761509597002545,1008.8998841976513,34.943638190531594,60.825804986934656,203949.49295008482,1005.3711555170235
2016-08-01,1071.5705396480612,8.359704747237943,967.439583046432,34.809796098083396,60.96145575630785,197614.28550189536,964.7301850128182
2016-09-01,1119.1622555749482,7.880405362119367,1013.5572272794639,35.605613945072726,62.11900898829232,203779.42938919857,1009.2616195826463
2016-10-01,1199.1347144896763,7.3866365616009855,1095.7109505657124,35.82627252991977,60.2108548324429,217254.23435685274,1090.306623913885
2016-11-01,1291.811320125434,7.553034838698756,1184.746689551494,37.29672686992505,62.21486886531604,233274.9736593336,1177.068856004972
2016-12-01,1435.5450666763322,7.596443084898173,1324.55379849827,38.445236717284665,64.94958837587939,262688.19599922834,1316.5540204591023
2017-01-01,1352.3986207151486,7.0514776567403965,1250.7868636401001,33.844216065905464,60.71606335240265,248669.71680532175,1244.5822105566194
2017-02-01,1150.2143095445508,6.893259902076156,1053.6439454703946,32.91828261531359,56.758821556766335,210061.65044706946,1047.9535000895728
2017-03-01,1235.560202682697,7.916281520302898,1125.7049410038355,36.77124452719393,65.1677356313647,224613.7095540582,1118.777520450184
2017-04-01,1072.3154384498055,6.754819366744944,975.2236749568694,31.979763661509796,58.357180464681235,196248.8089619139,970.0114786981009
2017-05-01,1159.6588307405877,7.231270559767944,1054.1635469601442,34.54361045868262,63.72040276199296,211149.08736762835,1048.0829509797527
2017-06-01,1111.753011728898,7.862343649394634,1004.0354876670339,34.76655365843678,65.0886267540326,202199.1764478201,999.022861530626
2017-07-01,1071.9234899212056,7.299591862918412,966.1351437088271,35.15850218703683,63.330252162423186,193889.3102834996,960.5417864956399
2017-08-01,1086.287144944076,7.988198681513917,977.557386838167,36.02330605059933,64.71825337379585,197008.63444629216,973.0517766882967
2017-09-01,1127.2439682537513,7.3715090241294305,1018.2373290771799,38.22397118365651,63.41115896878558,201273.0461239994,1010.4145398664513
2017-10-01,1228.158128865053,7.461405475643204,1113.7900653202,42.932747313947964,63.973910755261805,217828.0880671666,1103.2595949898766
2017-11-01,1259.9688871977169,7.783234772062513,1146.019741116918,41.751507941056985,64.4144033676793,222438.91751871124,1133.0099266538448
2017-12-01,1374.683951045413,7.668167314124883,1261.7937851634465,39.67310198205854,65.54889658578311,248122.2114570223,1250.0173500151423
2018-01-01,1425.7464989244074,7.726484522140267,1315.4353309875053,37.516633130993974,65.06805028376814,260120.6200613799,1307.5765252770664
2018-02-01,1139.2478806437134,6.898583033190732,1041.8576979317554,32.27027682736992,58.221322851397154,205659.08575929332,1037.122745139664
2018-03-01,1205.515762243,7.658535803824754,1098.0262542403577,34.90775997251153,64.92321222630613,217949.07057597337,1092.087893884415
2018-04-01,1106.5162677814642,7.161437285621794,1002.7621511620089,33.24480449794766,63.34787483588596,200440.06898010834,998.1219689507258
2018-05-01,1123.8002759719313,6.955803006509059,1016.5503766075594,34.81835376420164,65.47574259366124,202396.36175382652,1011.5382645697073
2018-06-01,1066.6965307244077,6.542746324117389,963.246395213206,32.5957154256179,64.31167376146652,192010.19631314545,959.294640805909
2018-07-01,1048.9315171332337,8.014372512898097,941.5993640572166,33.656073056173135,65.66170750694579,188520.0184434279,937.9319213923451
2018-08-01,1039.9515575705886,6.925404895683696,930.434316763478,33.94753729526336,68.64429861616355,187074.31469068455,927.7074274100266
2018-09-01,1055.6709571156325,6.374662652494805,952.2798297019154,32.567105438958734,64.44935932226375,187951.26174332667,947.2927514023901
2018-10-01,1226.6674830049528,6.42473012914834,1115.6821922573938,36.30428494631193,68.25627567209865,218843.2175949701,1109.0983190774539
2018-11-01,1211.9959242213006,6.040283433415835,1102.4554378000294,36.930128404481124,66.57007458337422,215582.59910570903,1094.7504107678835
2018-12-01,1298.5786844727595,5.103306370328239,1189.787422077125,36.23991247632881,67.4480435489773,234642.04829766287,1182.9496352655851
2019-01-01,1367.9143410420934,6.974917471183027,1256.8100590189702,36.121251595410115,68.00811295652987,248351.88764528354,1251.0533512539982
2019-02-01,1147.4628444261198,5.733588456678755,1048.193869840713,32.36881001861354,61.1665761101145,206232.21680590181,1042.6043324587831
2019-03-01,1155.4656819121788,7.035383354411029,1049.0208297142724,33.732849207904046,65.67661963559134,207445.7955368211,1043.395724165738
2019-04-01,1131.1921866127966,5.979008806251233,1029.0599746157109,32.11094081072941,64.04226238010504,204043.3740631523,1024.9162832062625
2019-05-01,1135.6417642550455,6.638798296768546,1026.461720045237,33.549673149889806,68.99157276315002,204451.52233175797,1022.1330741694443
2019-06-01,1043.5540025071289,6.686815321684901,940.5699329198605,31.465378586853976,64.83187567872955,186935.5180795125,936.8815140429525
2019-07-01,1075.9939488589519,6.802411863150199,967.9076257722381,33.880457099313574,67.40345412424985,192109.00572462528,964.324132986814
2019-08-01,1080.7956513505874,6.70993462997796,968.7683754040721,34.60426928971936,70.71307202681783,193575.76311145767,965.8713482341187
2019-09-01,1085.8072060251907,6.88599705467126,974.9092193683749,36.009211870605284,68.00277773153915,190554.65372469128,969.8656533438275
2019-10-01,1274.370062871714,7.403513878769746,1152.3908139092018,42.297663726317474,72.27807135742493,223306.27769604212,1145.7449019791122
2019-11-01,1248.0691820758634,6.731275529940786,1134.9304009229513,38.01169965045028,68.39580597252117,218692.88108124948,1128.2346935596152
2019-12-01,1381.145699019044,7.117190137601854,1266.0026516779567,37.47817715137968,70.54768005210595,245158.80617298337,1258.8961319903362
2020-01-01,1336.9181575082225,6.987896753328363,1223.608062363996,34.9820928931865,71.34010549771179,238810.52468860676,1218.656526783449
2020-02-01,1117.9693853780852,6.535174783791084,1014.7114933378589,31.491695277067706,65.23102197936755,198487.078631468,1010.3138764023929
2020-03-01,1429.5930077429127,7.557793820863527,1305.0962415004335,33.92041549011476,83.01855693150091,259449.45351220906,1300.3080409049746
2020-04-01,1083.3601223421647,7.096194949962771,971.0619939533744,33.22269104294554,71.97924239588207,193188.13486377976,969.0203066397748
2020-05-01,913.0620958246944,7.042933541781914,809.2467343788417,30.172587734455163,66.59984016961558,161768.40906451643,807.893894611048
2020-06-01,936.0745749193699,7.078441147235819,829.301429939207,31.91068502142378,67.78401881150327,165821.8632079797,828.0639898891383
2020-07-01,952.5092701037094,7.502757032409975,841.230209991446,33.412656732123935,70.36364634772941,168688.67625711704,840.0087483638317
2020-08-01,862.9306830645996,6.4641595728832755,762.6572052627739,30.083818720820407,63.72549950812202,151790.4754434638,761.4357436351597
2020-09-01,1013.942753679782,7.030505879873048,902.9672835941494,34.183171770473656,69.76179243528574,177836.91786457048,900.2509517769257
2020-10-01,1043.3199710520696,7.238225371778388,931.3130050280012,34.15299030583784,70.61575034645215,183668.5493923486,928.855878730591
2020-11-01,987.4771599547144,7.090868809144685,880.2921267512861,32.191195104509625,67.90296928977386,173963.4633131248,878.0977567342348
2020-12-01,1072.5942163685409,7.644787454225592,957.684503598616,34.35715903719778,72.90776627850167,189781.9089140796,955.4155676101115
2021-01-01,1002.3872205853955,7.20538918552597,894.4460701020537,32.86718384798938,67.86857744982657,177222.7012160628,893.0085286522788
2021-02-01,875.2894599337129,6.9401601357520075,776.1698276458529,28.844543259750953,63.334928892356984,154043.49643251896,774.9603831788836
2021-03-01,982.8327668423939,7.732310897743575,871.6788084694567,33.76012164889506,69.66152582629856,171735.2819228314,869.7497091807675
2021-04-01,950.1141112622779,7.3362355167477915,842.4328852477145,32.91846146427901,67.42652903353664,165790.03485304216,840.3817805961291
2021-05-01,930.9539647066069,7.062165498648031,822.5141836096898,36.49374905523202,64.88386654303692,159864.21669524568,819.2518662974702
2021-06-01,1018.4494918397068,7.576709855209517,902.4683647608833,37.91891314935078,70.48550407426299,174291.92905702887,898.3484735210611
2021-07-01,1013.604641197169,7.543114175571481,898.5394384368983,35.87841765975643,71.64367092494263,174434.98918599277,895.1568839554478
2021-08-01,943.474544049603,7.019728850684196,835.2911510341344,31.823949585545133,69.33971457923948,162870.84259432132,832.9606717834537
2021-09-01,1059.505180551051,7.399890488693542,945.1578644188351,34.48684924527571,72.46057639824645,182174.52138666486,941.5666630848958
2021-10-01,1117.1359166796026,7.127588664258941,1005.8086753274796,35.26131807061568,68.93833461724822,191308.45199577874,1001.0929028224987
2021-11-01,1166.364196511315,7.385744939372264,1051.4015489836238,35.64147970862503,71.93542287969399,200173.23965844084,1046.6168169257014
2021-12-01,1232.8111462543532,7.960407880549181,1111.9887049203226,36.28333400907802,76.57869944440348,213480.39199651184,1107.789244965568
2022-01-01,1054.29122631713,7.4663793049031675,944.6963186605924,31.59135243599193,70.53717591564258,181993.78416054317,941.8181780667118
2022-02-01,946.3731940126772,7.0239919596712,844.3723110215246,29.74136899229461,65.23552203918673,162893.16934879584,841.5641130909218
2022-03-01,1107.9022777195494,8.0958632744032,990.1660440574781,35.060508534569884,74.57986185309834,190596.45721875693,987.0186242099779
2022-04-01,1037.020634187264,7.427910840100388,927.4834292279304,31.883363055176666,70.22593106405645,178672.6861887248,925.357172264286
2022-05-01,1043.2210512868392,7.821338321037908,926.6651000675804,35.77392370000326,72.9606891982177,177468.96333659795,924.1314270903426
2022-06-01,1021.7154308955035,7.821338321037908,906.3852248501876,35.46617598158102,72.04269174269682,173358.04483398155,903.4563758254305
2022-07-01,1004.5917183585206,8.35814826169488,886.6893708711644,36.61673279250052,72.92746643316076,169675.95441703743,883.6678478175642
2022-08-01,968.4226186109979,8.618684682404616,853.3721832187932,32.21384213916418,74.21790857063581,165399.3837107139,851.3963029811957
2022-09-01,1009.9213493002876,8.746330042886568,893.2762211853495,33.665152402178144,74.23364566987333,170822.9222950475,890.6149028476298
2022-10-01,1123.8911705448504,8.795289907181015,1003.0250027010983,38.62933292831868,73.44154500825245,189405.37038303452,998.4262725905842
2022-11-01,1179.0339662730532,9.457996641737994,1054.98365868358,39.6627357782479,74.92957516948725,198440.18506059333,1049.43545691907
2022-12-01,1481.595436213244,9.576899169310222,1354.6057881995223,40.571990400859065,76.84075844355263,253827.39017992065,1347.5538191745397
