outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p_cluster_t8,p_randomisation,analysis,mde_pct_10pct
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,3,81,2014-2024,1.2954941181491182,0.9060372719915653,1.8523575817911668,0.1335414619810957,0.286,"lagged, excluding 2020-21",64.11503989833638
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,-1,108,2012-2023,1.1663777260909012,0.8512611834926905,1.5981428805894369,0.292453944701021,0.274,lead (falsification),54.70317650318685
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,-2,99,2012-2022,0.9130859945175628,0.7029047290655793,1.186115271257966,0.4460047249928381,0.436,lead (falsification),43.68458666953112
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,-3,90,2012-2021,0.919670397103507,0.8230543641020233,1.0276279140215825,0.1200827351713453,0.084,lead (falsification),16.6231148551794
"TB, UK born",rate_levothyroxine,FE + migration + age,1,117,2012-2024,0.9564023535014928,0.8503834915626172,1.075638780454666,0.4071238208723405,0.518,lagged exposure,17.6778177479189
"TB, UK born",rate_levothyroxine,FE + migration + age,2,108,2013-2024,0.910535350484998,0.8018697266047253,1.0339268299768638,0.1274352821685093,0.246,lagged exposure,19.252665760600472
"TB, UK born",rate_levothyroxine,FE + migration + age,3,99,2014-2024,0.8979914534321443,0.7719705356937628,1.0445847518163125,0.1394653724663051,0.258,lagged exposure,23.306421911499122
"TB, UK born",rate_levothyroxine,FE + migration + age,1,99,2012-2024,0.9496800608019416,0.8386420991172309,1.0754196800209843,0.3663422340632322,0.478,"lagged, excluding 2020-21",18.79992221125699
"TB, UK born",rate_levothyroxine,FE + migration + age,2,90,2013-2024,0.9112803473441956,0.7958099504381444,1.0435052627810848,0.1524858058490316,0.288,"lagged, excluding 2020-21",20.649231813034994
"TB, UK born",rate_levothyroxine,FE + migration + age,3,81,2014-2024,0.8953989865029779,0.7616417695578737,1.05264624010309,0.1539659403992908,0.282,"lagged, excluding 2020-21",25.127002459346603
"TB, UK born",rate_levothyroxine,FE + migration + age,-1,108,2012-2023,0.9335467100412986,0.8108853369821087,1.074762879635301,0.2929280397355089,0.428,lead (falsification),21.550904581280726
"TB, UK born",rate_levothyroxine,FE + migration + age,-2,99,2012-2022,0.965122284856726,0.8170146410086515,1.14007874274704,0.6363486093191744,0.71,lead (falsification),25.962722689964956
"TB, UK born",rate_levothyroxine,FE + migration + age,-3,90,2012-2021,0.9608952604994416,0.8020580767820268,1.151188085225427,0.6244243622765303,0.72,lead (falsification),28.44522252417199
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,1,117,2012-2024,0.9494268688539124,0.7189960608437229,1.253708369756521,0.6782099346470323,0.716,lagged exposure,46.985475467289504
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,2,108,2013-2024,0.9979203095349362,0.8125212053941149,1.2256233284388762,0.981936944559661,0.974,lagged exposure,32.943903796326744
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,3,99,2014-2024,1.034698928852949,0.8340492528943652,1.2836194860845165,0.7246566859630544,0.766,lagged exposure,34.80644348341349
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,1,99,2012-2024,0.975449459901261,0.7230558577093027,1.3159448729674816,0.8529485090317193,0.874,"lagged, excluding 2020-21",51.410635548774366
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,2,90,2013-2024,1.0251863132317636,0.8362336166031737,1.256834162093343,0.7854248152050372,0.812,"lagged, excluding 2020-21",32.61097790208301
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,3,81,2014-2024,1.0638990849771992,0.8591219904159421,1.3174860795581822,0.5228582848773754,0.6,"lagged, excluding 2020-21",34.472833414504755
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,-1,108,2012-2023,1.1255345697836032,0.8770492918218091,1.4444206039394911,0.3061204204523246,0.358,lead (falsification),41.284457585763825
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,-2,99,2012-2022,1.329543681851295,1.0020601622255374,1.7640521683096682,0.0487070471688767,0.07,lead (falsification),47.96112109424418
"TB, Non-UK born",rate_oral_glucocorticoids,FE + migration + age,-3,90,2012-2021,1.4900943839211491,1.174030357240995,1.8912468994509728,0.0048228392026769,0.012,lead (falsification),39.137312757215724
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,1,117,2012-2024,0.9870323576106071,0.770877798564729,1.263796773994846,0.906081975644137,0.934,lagged exposure,40.83940554841088
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,2,108,2013-2024,1.0751418284385104,0.9107617522858892,1.26919026667169,0.3434509700706605,0.544,lagged exposure,25.845628482529758
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,3,99,2014-2024,1.1087014387713952,0.943331558872911,1.303061334874058,0.1789291391277677,0.384,lagged exposure,25.08086722502394
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,1,99,2012-2024,1.017526714273519,0.7789968295519296,1.3290947728963047,0.8844828937558009,0.918,"lagged, excluding 2020-21",44.78656276927326
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,2,90,2013-2024,1.0748200018070035,0.9165489449798698,1.2604215438923227,0.3267744962421796,0.542,"lagged, excluding 2020-21",24.69434140004958
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,3,81,2014-2024,1.1299201413468811,0.943077430700555,1.3537801714467483,0.1577753842697882,0.378,"lagged, excluding 2020-21",28.457583066269954
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,-1,108,2012-2023,1.1521087415082905,0.9075201439449636,1.4626171783800253,0.2084171700105906,0.332,lead (falsification),39.182926496159865
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,-2,99,2012-2022,1.3093082469071575,0.9365961457957932,1.8303386076423829,0.1006837839942916,0.168,lead (falsification),59.063676756589615
"TB, Non-UK born",rate_mg_pred_equivalent,FE + migration + age,-3,90,2012-2021,1.2852255868234643,1.0321216985741366,1.6003973284426307,0.0297855924462779,0.04,lead (falsification),35.50759358549775
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,1,117,2012-2024,1.0220069144750004,0.9032619282381694,1.1563624022901366,0.6950869703061079,0.778,lagged exposure,18.66336285134762
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,2,108,2013-2024,1.0189949774660223,0.8843864198326798,1.174091710157002,0.7672184523488864,0.854,lagged exposure,21.688007933490063
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,3,99,2014-2024,1.0134827270445603,0.8781895494781476,1.169619063023521,0.8347414188087782,0.866,lagged exposure,21.959318287486298
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,1,99,2012-2024,1.0239324150650666,0.9006901834765226,1.16403798981596,0.6818499858085177,0.798,"lagged, excluding 2020-21",19.444127962740442
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,2,90,2013-2024,1.0188124065565891,0.8835728011741651,1.1747517786585056,0.7705199234589527,0.844,"lagged, excluding 2020-21",21.813038059907242
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,3,81,2014-2024,1.0136500427994728,0.8767439719702019,1.1719343869093568,0.8347933549536013,0.86,"lagged, excluding 2020-21",22.265965999426427
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,-1,108,2012-2023,0.9956308433156672,0.8586740209674645,1.154432010234332,0.9472760138993755,0.964,lead (falsification),22.756364503005067
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,-2,99,2012-2022,1.0127831929591675,0.8808092613590449,1.1645311203448478,0.8390694437230959,0.878,lead (falsification),21.340919761524944
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,-3,90,2012-2021,1.0953286510243956,0.9142940881062096,1.3122089154486067,0.2786253572078691,0.476,lead (falsification),28.44042904680364
