outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, UK born",rate_statins,FE only,1,90,2015-2024,0.8991861397470368,0.6952310025299039,1.1629741927085595,0.36869188668443215,0.854-1.060,lagged exposure
"TB, UK born",rate_statins,FE + migration + age,1,90,2015-2024,0.967341070826664,0.6720816394045183,1.3923141065677298,0.8387247985768019,0.886-1.184,lagged exposure
"TB, UK born",rate_statins,FE only,2,81,2016-2024,0.8933739746258073,0.7414082429837939,1.0764879755405663,0.20068402459168472,0.861-0.984,lagged exposure
"TB, UK born",rate_statins,FE + migration + age,2,81,2016-2024,0.930285516332122,0.7237595370683767,1.1957440248770934,0.5254698802331002,0.888-1.047,lagged exposure
"TB, UK born",rate_statins,FE only,3,72,2017-2024,1.0053151371979838,0.7930693013156591,1.2743634426433772,0.9601531137070651,0.956-1.059,lagged exposure
"TB, UK born",rate_statins,FE + migration + age,3,72,2017-2024,1.100746947024118,0.8910893213157735,1.3597333201051216,0.3254522051119484,1.029-1.200,lagged exposure
"TB, UK born",rate_statins,FE only,1,72,2015-2024,0.872303221475034,0.683392332004488,1.1134349546531424,0.23282506259645142,0.836-1.024,"lagged, excluding 2020-21"
"TB, UK born",rate_statins,FE + migration + age,1,72,2015-2024,0.9149234547414367,0.6413497080168084,1.305192654759995,0.5797191291804463,0.850-1.135,"lagged, excluding 2020-21"
"TB, UK born",rate_statins,FE only,2,63,2016-2024,0.8768440614227192,0.7251234131229384,1.0603098646904903,0.14933222804517976,0.845-0.965,"lagged, excluding 2020-21"
"TB, UK born",rate_statins,FE + migration + age,2,63,2016-2024,0.8899297074444517,0.6884954403261304,1.1502979363480172,0.3253375112639901,0.842-1.022,"lagged, excluding 2020-21"
"TB, UK born",rate_statins,FE only,3,54,2017-2024,1.0073990673231967,0.7893197232049619,1.2857310555004604,0.946156618970404,0.958-1.068,"lagged, excluding 2020-21"
"TB, UK born",rate_statins,FE + migration + age,3,54,2017-2024,1.0941877466001093,0.9062753350382057,1.3210630131066656,0.3026709043872037,1.023-1.187,"lagged, excluding 2020-21"
"TB, UK born",rate_statins,FE only,-1,99,2013-2023,0.9111618477442024,0.690429054043906,1.2024637548521153,0.4615415311169084,0.843-1.054,lead (falsification)
"TB, UK born",rate_statins,FE + migration + age,-1,99,2013-2023,0.996300653530735,0.635730820525793,1.561376230595221,0.9852886642811495,0.852-1.264,lead (falsification)
"TB, UK born",rate_statins,FE only,-2,99,2012-2022,0.9419795292078257,0.7114449567466923,1.2472158598244534,0.6365696900999648,0.871-1.130,lead (falsification)
"TB, UK born",rate_statins,FE + migration + age,-2,99,2012-2022,1.0789495547771482,0.7940328721706129,1.466100689977065,0.5833643680199213,0.945-1.338,lead (falsification)
"TB, UK born",rate_statins,FE only,-3,90,2012-2021,0.9466022046902733,0.6546577878735982,1.3687391344338475,0.740323097372343,0.854-1.217,lead (falsification)
"TB, UK born",rate_statins,FE + migration + age,-3,90,2012-2021,1.1044713954404537,0.7623130727499384,1.6002048330953031,0.5537441106231891,0.936-1.363,lead (falsification)
